pollutant;metric;vehicle_model_year;vehicle_type;vehicle_fuel_type;emission;unit;n;standarderror;nox_emission_threshold_g_per_kg_fuel;source
NOx;Mittelwert;2001;light duty vehicle;diesel;24.088447493068504;g/kg fuel;1768;0.32796689696217607;10.3;Kanton Zürich/AWEL
NOx;Mittelwert;2002;passenger car;gasoline;1.6373768997628186;g/kg fuel;15632;0.04362215072167639;2.6;Kanton Zürich/AWEL
NOx;Mittelwert;2002;passenger car;diesel;22.52684038065506;g/kg fuel;2481;0.2508520742436218;10.3;Kanton Zürich/AWEL
NOx;Mittelwert;2002;light duty vehicle;gasoline;3.7299532789602767;g/kg fuel;389;0.4838806678481402;2.6;Kanton Zürich/AWEL
NOx;Mittelwert;2002;light duty vehicle;diesel;23.811971905585107;g/kg fuel;766;0.47720858723641557;10.3;Kanton Zürich/AWEL
NOx;Mittelwert;2003;passenger car;gasoline;1.4432488345882293;g/kg fuel;16007;0.03792003045972932;2.6;Kanton Zürich/AWEL
NOx;Mittelwert;2003;passenger car;diesel;19.205593114599715;g/kg fuel;3469;0.19924703183092737;10.3;Kanton Zürich/AWEL
NOx;Mittelwert;2003;light duty vehicle;gasoline;1.7420449836209375;g/kg fuel;350;0.32165795424316945;2.6;Kanton Zürich/AWEL
NOx;Mittelwert;2003;light duty vehicle;diesel;23.162414224431696;g/kg fuel;991;0.4062988355611702;10.3;Kanton Zürich/AWEL
NOx;Mittelwert;2004;passenger car;gasoline;1.252856728761847;g/kg fuel;14319;0.03778605798532811;2.6;Kanton Zürich/AWEL
NOx;Mittelwert;2004;passenger car;diesel;17.178843429800946;g/kg fuel;4650;0.17142439566180728;10.3;Kanton Zürich/AWEL
NOx;Mittelwert;2004;light duty vehicle;gasoline;1.0757765921545395;g/kg fuel;359;0.18560350194639114;2.6;Kanton Zürich/AWEL
NOx;Mittelwert;2004;light duty vehicle;diesel;21.9010352455921;g/kg fuel;794;0.4661316644672831;10.3;Kanton Zürich/AWEL
NOx;Mittelwert;2005;passenger car;gasoline;1.1756247003900706;g/kg fuel;19864;0.034090865379271716;1.4;Kanton Zürich/AWEL
NOx;Mittelwert;2005;passenger car;diesel;16.28064142221787;g/kg fuel;7496;0.13889926154475188;4.4;Kanton Zürich/AWEL
NOx;Mittelwert;2005;light duty vehicle;gasoline;1.8961930581596542;g/kg fuel;620;0.21468460270883374;1.4;Kanton Zürich/AWEL
NOx;Mittelwert;2005;light duty vehicle;diesel;20.155970427669693;g/kg fuel;749;0.43136139520938016;4.4;Kanton Zürich/AWEL
NOx;Mittelwert;2006;passenger car;gasoline;0.9474454954111358;g/kg fuel;12854;0.030893050620062812;1.4;Kanton Zürich/AWEL
NOx;Mittelwert;2006;passenger car;diesel;16.788950518280952;g/kg fuel;7623;0.139417568865312;4.4;Kanton Zürich/AWEL
NOx;Mittelwert;2006;light duty vehicle;gasoline;3.146972989993058;g/kg fuel;259;0.49299016009998436;1.4;Kanton Zürich/AWEL
NOx;Mittelwert;2006;light duty vehicle;diesel;20.148638111221434;g/kg fuel;6344;0.16543606892306514;4.4;Kanton Zürich/AWEL
