year;pollutant;metric;parameter;outcome_type;population;scenario;outcome;outcome_lower;outcome_upper;outcome_delta_min_conc
2023;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1609642;vermieden vs. 2015;-5480.757695895848;-3206.100615369901;-7815.499015454298;0
2023;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1609642;tatsächliche Belastung;4368.886111253788;678.0854486278549;7668.144865189776;0
2023;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1609642;vermieden vs. 2015;-416.38461988315066;-64.86663115547174;-728.3079672641716;0
2023;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1609642;tatsächliche Belastung;3150.909444101563;1648.2687724162017;4645.286626980984;0
2023;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1609642;vermieden vs. 2015;-3386.48701725677;-1776.6365549890822;-4977.909858943001;0
2024;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1624157;tatsächliche Belastung;1181.5855101468585;689.3274754677298;1689.7166213813039;0
2024;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1624157;vermieden vs. 2015;-5825.308846207631;-3407.6216293763464;-8306.884788939817;0
2024;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1624157;tatsächliche Belastung;3812.737371312549;591.5113439403316;6694.662846618709;0
2024;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1624157;vermieden vs. 2015;-1086.085088558426;-169.1375838845653;-1900.3011412235728;0
2024;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1624157;tatsächliche Belastung;2614.7144872903696;1367.4599857590483;3855.7002540824387;0
2024;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1624157;vermieden vs. 2015;-4074.6558169225223;-2137.308019526913;-5990.480620928663;0
