year;pollutant;metric;parameter;outcome_type;population;scenario;outcome;outcome_lower;outcome_upper;outcome_delta_min_conc
2015;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1470575;tatsächliche Belastung;607.3582719436905;321.82881812115517;884.0608221120565;0
2015;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1470575;vermieden vs. 2015;0;NA;NA;0
2016;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1492114;tatsächliche Belastung;506.2872674586425;298.44085423918705;716.3313488519174;0
2016;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1492114;vermieden vs. 2015;-101.30823215707295;-60.511572587636635;-141.39102348452468;0
2016;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1492114;tatsächliche Belastung;299.5705839893148;46.94098455726444;521.354518625857;0
2016;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1492114;vermieden vs. 2015;-127.80180499553865;-20.40133212749633;-218.72323106559816;0
2016;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1492070;tatsächliche Belastung;495.3730687609652;261.9347456352548;722.5669588265284;0
2016;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1492070;vermieden vs. 2015;-84.77434471597746;-45.476413144820015;-121.88370684692734;0
2017;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1508454;tatsächliche Belastung;501.7173588521206;295.60992607192986;710.2031972011413;0
2017;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1508454;vermieden vs. 2015;-127.03052485861724;-75.84002386627986;-177.3763163929881;0
2017;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1508454;tatsächliche Belastung;369.05505324231547;57.97317408987518;640.8547926665893;0
2017;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1508454;vermieden vs. 2015;-73.05629025129838;-11.691512112024292;-124.74718604619613;0
2017;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1508411;tatsächliche Belastung;514.2855917111266;271.94672543661494;750.1213249213818;0
2017;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1508411;vermieden vs. 2015;-85.91485151943402;-46.09025303653323;-123.51804112983314;0
2018;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1525108;tatsächliche Belastung;421.38210815526514;247.86568684724168;597.5003266917896;0
2018;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1525108;vermieden vs. 2015;-205.6526570258091;-122.57264431469545;-287.65973504475505;0
2018;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1525108;tatsächliche Belastung;536.0418055474516;84.81040890230668;924.9089865828024;0
2018;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1525108;vermieden vs. 2015;0;NA;NA;0
2018;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1525059;tatsächliche Belastung;628.7935317759376;333.43375772837334;914.5928794085319;0
2018;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1525059;vermieden vs. 2015;0;NA;NA;0
2019;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1543433;tatsächliche Belastung;383.888186614571;225.58828391002143;544.8877563645726;0
2019;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1543433;vermieden vs. 2015;-260.0430480171679;-154.8367850570169;-364.1129411900281;0
2019;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1543433;tatsächliche Belastung;446.3498376065862;70.31508569446738;773.1125187745749;0
2019;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1543433;vermieden vs. 2015;-5.850116428597346;-0.9389078331301164;-9.963592715450204;0
2019;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1543384;tatsächliche Belastung;494.1757319461381;261.11636174730427;721.3264656303496;0
2019;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1543384;vermieden vs. 2015;-120.1019352828551;-64.38150895577633;-172.79910927209994;0
2020;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1557640;tatsächliche Belastung;223.9617093089841;131.20512892993125;318.89615618412836;0
2020;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1557640;vermieden vs. 2015;-397.5519910381726;-235.97272011283715;-558.4670007138698;0
2020;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1557640;tatsächliche Belastung;382.4924366181323;60.1298153948363;663.7376364133996;0
2020;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1557640;vermieden vs. 2015;-54.33874177007124;-8.702734986755999;-92.72193672138337;0
2020;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1557640;tatsächliche Belastung;376.08249015300044;198.23067608666673;550.2857091253087;0
2020;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1557640;vermieden vs. 2015;-217.12180731180604;-116.10003488951475;-313.1678176591397;0
2021;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1568891;tatsächliche Belastung;217.47705052557208;127.39034025526365;309.70237650242444;0
2021;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1568891;vermieden vs. 2015;-402.0636410851762;-238.61790315170452;-564.8853372097403;0
2021;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1568891;tatsächliche Belastung;328.72595696086296;51.560523566891156;571.5893698593561;0
2021;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1568891;vermieden vs. 2015;-107.17538970004983;-17.125808508862015;-183.2571086270325;0
2021;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1568891;tatsächliche Belastung;391.69272079646674;206.54119462835953;572.8998836214237;0
2021;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1568891;vermieden vs. 2015;-200.01148238626428;-106.99385808241945;-288.37225668917927;0
2022;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1584177;tatsächliche Belastung;206.3055942000245;120.79490463905881;293.92271596863907;0
2022;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1584177;vermieden vs. 2015;-442.69709385052784;-262.6200391979346;-622.2523874060378;0
2022;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1584177;tatsächliche Belastung;477.17137042153206;75.25343651492443;825.6882057454955;0
2022;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1584177;vermieden vs. 2015;0;NA;NA;0
2022;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1584177;tatsächliche Belastung;473.6153696341218;250.10668984440622;691.7143586107951;0
2022;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1584177;vermieden vs. 2015;-146.14863323488686;-78.29746577895628;-210.39929161832276;0
2023;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1609642;tatsächliche Belastung;134.4190388771707;78.58900732325242;191.79582465758105;0
2023;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1609642;vermieden vs. 2015;-524.144720140348;-310.47228475717753;-737.8814539546497;0
2023;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1609642;tatsächliche Belastung;423.76149059052085;66.6662189972671;734.8735243070752;0
2023;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1609642;vermieden vs. 2015;-39.6815748189581;-6.360003107496652;-67.66615920429808;0
2023;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1609642;tatsächliche Belastung;306.98809795356567;161.47455204031644;450.11609484576826;0
2023;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1609642;vermieden vs. 2015;-322.1079319151777;-171.87410328059036;-465.5821402627417;0
2024;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1624157;tatsächliche Belastung;114.14255804674342;66.7067707169552;162.93346466686393;0
2024;NO2;Jahresmittel;NO2;vorzeitige Todesfälle;1624157;vermieden vs. 2015;-548.8722561816834;-324.98021832165836;-773.0367049166462;0
2024;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1624157;tatsächliche Belastung;364.88323020487485;57.26098923420736;634.1711092803025;0
2024;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;vorzeitige Todesfälle;1624157;vermieden vs. 2015;-102.13520767646486;-16.328904196161616;-174.55719361203376;0
2024;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1624157;tatsächliche Belastung;251.2990919978793;132.01080897879388;368.93851181805775;0
2024;PM2.5;Jahresmittel;PM2.5;vorzeitige Todesfälle;1624157;vermieden vs. 2015;-382.3825418706491;-203.76664368604673;-553.4372649920572;0
2010;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1377219;tatsächliche Belastung;6750.135334402913;3946.6132252354896;9630.926370727368;0
2010;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1377219;vermieden vs. 2015;0;NA;NA;0
2010;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1377219;tatsächliche Belastung;3583.1710743509457;555.8325261424296;6292.303281218633;0
2010;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1377219;vermieden vs. 2015;-922.0540688887841;-143.5413599730581;-1613.9062865706765;0
2010;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1377219;tatsächliche Belastung;11179.298974201301;5869.703941937074;16419.136519002554;0
2010;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1377219;vermieden vs. 2015;0;NA;NA;0
2011;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1396575;tatsächliche Belastung;6158.601429467054;3599.4722210092095;8790.197112539414;0
2011;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1396575;vermieden vs. 2015;-311.609212472722;-182.56999565288106;-443.6119840031297;0
2011;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1396575;tatsächliche Belastung;4086.598632826727;634.0714594748225;7174.795507222443;0
2011;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1396575;vermieden vs. 2015;-437.2998656744403;-68.0814527040609;-765.3557736755856;0
2011;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1396575;tatsächliche Belastung;11191.641456505235;5874.765546737072;16440.95379343027;0
2011;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1396575;vermieden vs. 2015;0;NA;NA;0
2012;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1412648;tatsächliche Belastung;5959.327469799412;3482.7825260953423;8506.354705453165;0
2012;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1412648;vermieden vs. 2015;-530.2259799311996;-310.64152304660547;-754.8805177724953;0
2012;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1412648;tatsächliche Belastung;3644.7085231985293;565.3300509016005;6400.841093242927;0
2012;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1412648;vermieden vs. 2015;-894.8284714942201;-139.2719559347221;-1566.5500828729646;0
2012;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1412648;tatsächliche Belastung;8364.370172174009;4385.2183970305305;12303.46286532801;0
2012;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1412648;vermieden vs. 2015;0;NA;NA;0
2013;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1429665;tatsächliche Belastung;6435.479966849058;3761.4794611857424;9184.958383360807;0
2013;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1429665;vermieden vs. 2015;-148.51207845280805;-87.01463214039313;-211.42108208051468;0
2013;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1429665;tatsächliche Belastung;3551.3494651482756;550.7711698402524;6237.71357257754;0
2013;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1429665;vermieden vs. 2015;-1054.8571806755513;-164.14769294119424;-1847.0583306890312;0
2013;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1429665;tatsächliche Belastung;10911.504277621818;5726.287866856965;16033.833492274827;0
2013;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1429665;vermieden vs. 2015;0;NA;NA;0
2014;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1450433;tatsächliche Belastung;5523.739313230598;3227.9812668867817;7885.20659096447;0
2014;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1450433;vermieden vs. 2015;-987.5726491735086;-578.6103364823048;-1405.9474165100091;0
