year;site;pollutant;type;reference_year;parameter;value
2000;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2001;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2002;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2003;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2004;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2005;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2006;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2007;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2008;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2009;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2010;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2011;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2012;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2013;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2014;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2015;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;NA
2016;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;9.760989010989011
2017;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;9.6
2018;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;10.810684931506849
2019;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;9.03917808219178
2020;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;8.373901098901099
2021;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;8.594780219780219
2022;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;9.550684931506849
2023;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;8.086301369863014
2024;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;2021;Immission;7.240710382513661
2000;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2001;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2002;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2003;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2004;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2005;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2006;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2007;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2008;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2009;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2010;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2011;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2012;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2013;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2014;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2015;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;NA
2016;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;9.497619079110704
2017;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;9.31369580258752
2018;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;9.34317148092339
2019;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;9.172254141856925
2020;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;8.951240676892553
2021;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;8.899494875050875
2022;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;8.911035725621511
2023;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;8.752497827498733
2024;Dübendorf-EMPA;Feinstaub PM2.5;Trend;2021;Immission;8.567107520694192
2020;Klo_Feld;Feinstaub PM2.5;gemessen;2021;Immission;8.913563941825657
2021;Klo_Feld;Feinstaub PM2.5;gemessen;2021;Immission;9.199463837248619
2022;Klo_Feld;Feinstaub PM2.5;gemessen;2021;Immission;8.74205585364835
2023;Klo_Feld;Feinstaub PM2.5;gemessen;2021;Immission;7.895514290326923
2024;Klo_Feld;Feinstaub PM2.5;gemessen;2021;Immission;NA
2020;Klo_Feld;Feinstaub PM2.5;Trend;2021;Immission;9.11744875723759
2021;Klo_Feld;Feinstaub PM2.5;Trend;2021;Immission;8.883362376296168
2022;Klo_Feld;Feinstaub PM2.5;Trend;2021;Immission;8.492663316318108
2023;Klo_Feld;Feinstaub PM2.5;Trend;2021;Immission;8.271019034172012
2024;Klo_Feld;Feinstaub PM2.5;Trend;2021;Immission;NA
2001;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2002;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2003;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2004;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2006;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2007;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2008;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2009;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2010;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2011;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2012;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2013;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2014;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2015;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2016;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2017;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;NA
2018;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;10.68478330241096
2019;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;9.55115288785989
2020;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;9.1927899601694
2021;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;8.757335020263014
2022;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;8.79821365090884
2023;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;8.289409649309588
2024;Opf_Balsberg;Feinstaub PM2.5;gemessen;2021;Immission;7.6362604349699454
2001;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2002;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2003;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2004;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2006;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2007;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2008;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2009;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2010;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2011;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2012;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2013;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2014;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2015;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2016;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2017;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;NA
2018;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;9.992493645008457
2019;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;9.464143908656528
2020;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;9.073328689261906
2021;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;8.926614652094177
2022;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;8.825006089981498
2023;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;8.64329203832584
2024;Opf_Balsberg;Feinstaub PM2.5;Trend;2021;Immission;8.317694748440351
2013;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2014;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2015;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2016;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2017;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2018;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;2021;Immission;13.041767996382717
2019;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;2021;Immission;10.971571243711049
2020;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;2021;Immission;11.68274807587569
2021;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;2021;Immission;11.741624065577465
2022;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;2021;Immission;9.78398647891989
2023;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;2021;Immission;9.261977648910959
2024;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;2021;Immission;8.282110121379938
2013;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2014;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2015;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2016;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2017;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2018;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;2021;Immission;12.129108303239532
2019;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;2021;Immission;11.549043723415034
2020;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;2021;Immission;11.392664002683704
2021;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;2021;Immission;11.333551260748129
2022;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;2021;Immission;10.016155056644477
2023;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;2021;Immission;9.47237096884684
2024;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;2021;Immission;9.018567752337814
1995;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
1996;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
1997;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
1998;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
1999;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2000;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2001;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2002;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2003;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2004;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2005;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2006;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2007;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2008;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2009;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2010;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2011;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2012;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2013;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2014;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2015;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2016;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2017;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;11.334255229333333
2018;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;12.88332425939944
2019;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;10.579738752922864
2020;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;9.782055780096867
2021;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;9.896160474465374
2022;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;10.445637577147945
2023;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;8.857628908645893
2024;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;2021;Immission;7.750467938438017
1995;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
1996;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
1997;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
1998;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
1999;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2000;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2001;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2002;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2003;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2004;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2005;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2006;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2007;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2008;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2009;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2010;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2011;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2012;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2013;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2014;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2015;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2016;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2017;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;11.485919995382766
2018;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;11.079372511342843
2019;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;10.73705287191873
2020;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;10.34757866001811
2021;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;10.19795335686348
2022;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;9.93106416608282
2023;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;9.39156231486381
2024;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;2021;Immission;8.956935878996104
1995;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
1996;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
1997;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
1998;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
1999;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2000;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2001;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2002;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2003;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2004;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2005;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2006;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2007;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2008;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2009;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2010;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2011;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2012;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2013;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2014;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2015;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2016;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;NA
2017;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;10.448020442136364
2018;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;11.897344107085873
2019;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;10.19454974631233
2020;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;9.652838105035912
2021;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;9.827005150805556
2022;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;9.844607820774193
2023;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;8.711391300073972
2024;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;2021;Immission;7.4666815745137365
1995;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
1996;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
1997;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
1998;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
1999;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2000;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2001;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2002;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2003;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2004;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2005;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2006;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2007;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2008;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2009;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2010;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2011;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2012;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2013;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2014;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2015;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2016;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;NA
2017;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;10.743117121443708
2018;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;10.495207088117828
2019;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;10.153862934658333
2020;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;9.967055543586989
2021;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;9.859841261235875
2022;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;9.51365748148964
2023;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;8.93566510755675
2024;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;2021;Immission;8.517030161687323
2000;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2001;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2002;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2003;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2004;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2005;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2006;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2007;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2008;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2009;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2010;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2011;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2012;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2013;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2014;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2015;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;NA
2016;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;10.289750692520776
2017;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;10.40611111111111
2018;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;11.35917808219178
2019;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;9.50771349862259
2020;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;8.297540983606558
2021;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;8.955890410958904
2022;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;8.905785123966941
2023;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;7.291780821917809
2024;Zürich-Kaserne;Feinstaub PM2.5;gemessen;2021;Immission;6.807377049180328
2000;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2001;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2002;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2003;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2004;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2005;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2006;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2007;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2008;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2009;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2010;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2011;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2012;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2013;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2014;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2015;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;NA
2016;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;10.260736068138181
2017;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;9.969973579445915
2018;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;9.861265087526274
2019;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;9.383408024727798
2020;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;8.947212268186023
2021;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;8.845736861614844
2022;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;8.603800971220139
2023;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;8.125357100855258
2024;Zürich-Kaserne;Feinstaub PM2.5;Trend;2021;Immission;7.945426603384219
1995;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;NA
1996;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;NA
1997;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;NA
1998;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;NA
1999;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;NA
2000;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;NA
2001;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;NA
2002;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;NA
2003;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;NA
2004;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;NA
2005;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;NA
2006;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;NA
2007;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;NA
2008;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;NA
2009;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;12.946289146575419
2010;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;13.207491709814814
2011;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;12.737804204956165
2012;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;10.74951832563662
2013;Bachtel/Wald;Feinstaub PM10;gemessen;2015;Immission;12.051588574852055
