year;site;site_long;siteclass;x;y;masl;pollutant;metric;parameter;concentration;unit;source
1994;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;45.08;µg/m3;Ostluft
1995;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;46.06;µg/m3;Ostluft
1996;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;46.86;µg/m3;Ostluft
1997;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;46.35;µg/m3;Ostluft
1998;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;44.92;µg/m3;Ostluft
1999;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;45.06;µg/m3;Ostluft
2000;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;44.84;µg/m3;Ostluft
2001;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;38.16;µg/m3;Ostluft
2002;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;38.09999847;µg/m3;Ostluft
2003;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;43.87;µg/m3;Ostluft
2004;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;39.08;µg/m3;Ostluft
2005;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;41.1;µg/m3;Ostluft
2006;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;42.0279;µg/m3;Ostluft
2007;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;40.06;µg/m3;Ostluft
2008;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;37.81502712;µg/m3;Ostluft
2009;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;38.27101164;µg/m3;Ostluft
2010;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;37.62;µg/m3;Ostluft
2011;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;36.1874181;µg/m3;Ostluft
2012;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;32.24;µg/m3;Ostluft
2013;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;33.13;µg/m3;Ostluft
2014;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;30.64;µg/m3;Ostluft
2015;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;31.53;µg/m3;Ostluft
2016;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;30.4;µg/m3;Ostluft
2017;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;28.75;µg/m3;Ostluft
2018;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;26.67;µg/m3;Ostluft
2019;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;25.34;µg/m3;Ostluft
2020;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;21.19;µg/m3;Ostluft
2021;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;21.12;µg/m3;Ostluft
2022;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;21.17;µg/m3;Ostluft
2023;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
2024;8000_0060;Zürich - Gerhardstrasse;städtisch - Hintergrund;2681916;1247180;415;NO2;Jahresmittel;NO2;17.48;µg/m3;Ostluft
1998;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;38.38;µg/m3;Ostluft
1999;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;39.84890412;µg/m3;Ostluft
2000;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;41.33;µg/m3;Ostluft
2001;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;32.22;µg/m3;Ostluft
2002;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;32.43937167;µg/m3;Ostluft
2003;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;36.72;µg/m3;Ostluft
2004;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;32.72;µg/m3;Ostluft
2005;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;33.84;µg/m3;Ostluft
2006;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;34.9138;µg/m3;Ostluft
2007;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;32.94;µg/m3;Ostluft
2008;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;31.5015295;µg/m3;Ostluft
2009;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;32.9635148;µg/m3;Ostluft
2010;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;33.04;µg/m3;Ostluft
2011;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;31.63808608;µg/m3;Ostluft
2012;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;30.08;µg/m3;Ostluft
2013;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;32.37;µg/m3;Ostluft
2014;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;28.43;µg/m3;Ostluft
2015;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;28.63;µg/m3;Ostluft
2016;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;27.98;µg/m3;Ostluft
2017;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;25.53;µg/m3;Ostluft
2018;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;24.3;µg/m3;Ostluft
2019;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;23.12;µg/m3;Ostluft
2020;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;18.92;µg/m3;Ostluft
2021;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;18.55;µg/m3;Ostluft
2022;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;19.24;µg/m3;Ostluft
2023;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;15.81;µg/m3;Ostluft
2024;8000_0070;Zürich - Paradeplatz;städtisch - Hintergrund;2683116;1247165;415;NO2;Jahresmittel;NO2;15.54;µg/m3;Ostluft
1994;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;58.17;µg/m3;Ostluft
1995;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
1996;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
1997;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
1998;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
1999;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;57.65;µg/m3;Ostluft
2000;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;57.8;µg/m3;Ostluft
2001;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;50.03;µg/m3;Ostluft
2002;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;51.94171327;µg/m3;Ostluft
2003;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;60.84;µg/m3;Ostluft
2004;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;54.55;µg/m3;Ostluft
2005;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;59.1;µg/m3;Ostluft
2006;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;62.1239;µg/m3;Ostluft
2007;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;59.34;µg/m3;Ostluft
2008;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;55.79776791;µg/m3;Ostluft
2009;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;62.38373798;µg/m3;Ostluft
2010;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;61.16;µg/m3;Ostluft
2011;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;59.58915425;µg/m3;Ostluft
2012;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;56.61;µg/m3;Ostluft
2013;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;60.47;µg/m3;Ostluft
2014;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;53.63;µg/m3;Ostluft
2015;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
2016;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;54.18;µg/m3;Ostluft
2017;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;51.72;µg/m3;Ostluft
2018;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;48.01;µg/m3;Ostluft
2019;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;46.84;µg/m3;Ostluft
2020;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;38.91;µg/m3;Ostluft
2021;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;38.26;µg/m3;Ostluft
2022;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;37.4;µg/m3;Ostluft
2023;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;32.63;µg/m3;Ostluft
2024;8000_0080;Zürich - Bellevue;städtisch - verkehrsbelastet;2683576;1246775;410;NO2;Jahresmittel;NO2;30.46;µg/m3;Ostluft
1994;8000_0090;Zürich - Rosengarten;städtisch - verkehrsbelastet;2682101;1249920;430;NO2;Jahresmittel;NO2;50.15;µg/m3;Ostluft
1995;8000_0090;Zürich - Rosengarten;städtisch - verkehrsbelastet;2682101;1249920;430;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
1996;8000_0090;Zürich - Rosengarten;städtisch - verkehrsbelastet;2682101;1249920;430;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
1997;8000_0090;Zürich - Rosengarten;städtisch - verkehrsbelastet;2682101;1249920;430;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
1998;8000_0090;Zürich - Rosengarten;städtisch - verkehrsbelastet;2682101;1249920;430;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
1999;8000_0090;Zürich - Rosengarten;städtisch - verkehrsbelastet;2682101;1249920;430;NO2;Jahresmittel;NO2;53.03;µg/m3;Ostluft
2000;8000_0090;Zürich - Rosengarten;städtisch - verkehrsbelastet;2682101;1249920;430;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
2001;8000_0090;Zürich - Rosengarten;städtisch - verkehrsbelastet;2682101;1249920;430;NO2;Jahresmittel;NO2;45.02;µg/m3;Ostluft
2002;8000_0090;Zürich - Rosengarten;städtisch - verkehrsbelastet;2682101;1249920;430;NO2;Jahresmittel;NO2;45.29999924;µg/m3;Ostluft
2003;8000_0090;Zürich - Rosengarten;städtisch - verkehrsbelastet;2682101;1249920;430;NO2;Jahresmittel;NO2;52.05;µg/m3;Ostluft
2004;8000_0090;Zürich - Rosengarten;städtisch - verkehrsbelastet;2682101;1249920;430;NO2;Jahresmittel;NO2;46.32;µg/m3;Ostluft
2005;8000_0090;Zürich - Rosengarten;städtisch - verkehrsbelastet;2682101;1249920;430;NO2;Jahresmittel;NO2;49.72;µg/m3;Ostluft
2006;8000_0090;Zürich - Rosengarten;städtisch - verkehrsbelastet;2682101;1249920;430;NO2;Jahresmittel;NO2;52.7195;µg/m3;Ostluft
2007;8000_0090;Zürich - Rosengarten;städtisch - verkehrsbelastet;2682101;1249920;430;NO2;Jahresmittel;NO2;51.09;µg/m3;Ostluft
1994;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;28.41;µg/m3;Ostluft
1995;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
1996;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
1997;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
1998;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
1999;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;27.07;µg/m3;Ostluft
2000;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;26.32;µg/m3;Ostluft
2001;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;23.23;µg/m3;Ostluft
2002;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;23.39999962;µg/m3;Ostluft
2003;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;25.74;µg/m3;Ostluft
2004;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;23.04;µg/m3;Ostluft
2005;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;23.85;µg/m3;Ostluft
2006;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;24.7602;µg/m3;Ostluft
2007;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;22.11;µg/m3;Ostluft
2008;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;22.61060859;µg/m3;Ostluft
2009;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;23.19911129;µg/m3;Ostluft
2010;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;23.54;µg/m3;Ostluft
2011;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;22.07431873;µg/m3;Ostluft
2012;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;20.56;µg/m3;Ostluft
2013;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;20.11;µg/m3;Ostluft
2014;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;20.28;µg/m3;Ostluft
2015;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;20.15;µg/m3;Ostluft
2016;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;18.85;µg/m3;Ostluft
2017;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;17.11;µg/m3;Ostluft
2018;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;18.65;µg/m3;Ostluft
2019;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;15.93;µg/m3;Ostluft
2020;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;13.55;µg/m3;Ostluft
2021;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;14.68;µg/m3;Ostluft
2022;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;13.58;µg/m3;Ostluft
2023;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
2024;8000_0100;Zürich - Meientalstrasse;städtisch - Hintergrund;2678486;1248885;415;NO2;Jahresmittel;NO2;11.34;µg/m3;Ostluft
1994;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;32.09;µg/m3;Ostluft
1995;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;32.59;µg/m3;Ostluft
1996;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;33.29;µg/m3;Ostluft
1997;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;33.37;µg/m3;Ostluft
1998;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;31.26;µg/m3;Ostluft
1999;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;30.63454224;µg/m3;Ostluft
2000;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;29.09;µg/m3;Ostluft
2001;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;25.02;µg/m3;Ostluft
2002;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;25.799999239999998;µg/m3;Ostluft
2003;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;NA;µg/m3;Ostluft
2004;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;25.18;µg/m3;Ostluft
2005;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;25.86;µg/m3;Ostluft
2006;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;26.3834;µg/m3;Ostluft
2007;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;24.49;µg/m3;Ostluft
2008;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;24.40112748;µg/m3;Ostluft
2009;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;24.92829748;µg/m3;Ostluft
2010;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;24.89;µg/m3;Ostluft
2011;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;25.29907313;µg/m3;Ostluft
2012;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;23.16;µg/m3;Ostluft
2013;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;22.31;µg/m3;Ostluft
2014;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;21.55;µg/m3;Ostluft
2015;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;22.29;µg/m3;Ostluft
2016;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;20.97;µg/m3;Ostluft
2017;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;18.75;µg/m3;Ostluft
2018;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;18.96;µg/m3;Ostluft
2019;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;18.23;µg/m3;Ostluft
2020;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;15.52;µg/m3;Ostluft
2021;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;14.94;µg/m3;Ostluft
2022;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;14.88;µg/m3;Ostluft
2023;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;11.47;µg/m3;Ostluft
2024;8000_0110;Zürich - Wachtelstrasse;städtisch - Hintergrund;2682211;1244125;455;NO2;Jahresmittel;NO2;11.98;µg/m3;Ostluft
2004;8000_0130;Zürich - Limmatquai 18;städtisch - verkehrsbelastet;2683468;1247065;408;NO2;Jahresmittel;NO2;40.94;µg/m3;Ostluft
2005;8000_0130;Zürich - Limmatquai 18;städtisch - verkehrsbelastet;2683468;1247065;408;NO2;Jahresmittel;NO2;36.71;µg/m3;Ostluft
2006;8000_0130;Zürich - Limmatquai 18;städtisch - verkehrsbelastet;2683468;1247065;408;NO2;Jahresmittel;NO2;38.36;µg/m3;Ostluft
2007;8000_0130;Zürich - Limmatquai 18;städtisch - verkehrsbelastet;2683468;1247065;408;NO2;Jahresmittel;NO2;35.73;µg/m3;Ostluft
2008;8000_0130;Zürich - Limmatquai 18;städtisch - verkehrsbelastet;2683468;1247065;408;NO2;Jahresmittel;NO2;34.57;µg/m3;Ostluft
2009;8000_0130;Zürich - Limmatquai 18;städtisch - verkehrsbelastet;2683468;1247065;408;NO2;Jahresmittel;NO2;35.68;µg/m3;Ostluft
2010;8000_0130;Zürich - Limmatquai 18;städtisch - verkehrsbelastet;2683468;1247065;408;NO2;Jahresmittel;NO2;34.74;µg/m3;Ostluft
2011;8000_0130;Zürich - Limmatquai 18;städtisch - verkehrsbelastet;2683468;1247065;408;NO2;Jahresmittel;NO2;33.62;µg/m3;Ostluft
2012;8000_0130;Zürich - Limmatquai 18;städtisch - verkehrsbelastet;2683468;1247065;408;NO2;Jahresmittel;NO2;31.72;µg/m3;Ostluft
2013;8000_0130;Zürich - Limmatquai 18;städtisch - verkehrsbelastet;2683468;1247065;408;NO2;Jahresmittel;NO2;32.38;µg/m3;Ostluft
2014;8000_0130;Zürich - Limmatquai 18;städtisch - verkehrsbelastet;2683468;1247065;408;NO2;Jahresmittel;NO2;29.86;µg/m3;Ostluft
2015;8000_0130;Zürich - Limmatquai 18;städtisch - verkehrsbelastet;2683468;1247065;408;NO2;Jahresmittel;NO2;30.31;µg/m3;Ostluft
2016;8000_0130;Zürich - Limmatquai 18;städtisch - verkehrsbelastet;2683468;1247065;408;NO2;Jahresmittel;NO2;28.45;µg/m3;Ostluft
2017;8000_0130;Zürich - Limmatquai 18;städtisch - verkehrsbelastet;2683468;1247065;408;NO2;Jahresmittel;NO2;27.15;µg/m3;Ostluft
