year;site;site_long;siteclass;ecosystem_category;component;metric;deposition;unit;source;critical_load_min;critical_load_single;critical_load_max;estimate
2021;WAB;Wasterkingen-Büelhalden;mittel;Wald;aus NH3-Quellen;Jahreseintrag;16.509898033;kg-N/ha/a;Ostluft;5;10;20;NA
2021;WAB;Wasterkingen-Büelhalden;mittel;Wald;N-Deposition;Jahreseintrag;23.28337835;kg-N/ha/a;Ostluft;5;10;20;geschätzt
2021;WIH;Winterthur-Hoh Wülflingen;mittel;Trockenrasen;aus NOx-Quellen;Jahreseintrag;5.858075357000001;kg-N/ha/a;Ostluft;15;15;25;NA
2021;WIH;Winterthur-Hoh Wülflingen;mittel;Trockenrasen;aus NH3-Quellen;Jahreseintrag;11.159646432;kg-N/ha/a;Ostluft;15;15;25;NA
2021;WIH;Winterthur-Hoh Wülflingen;mittel;Trockenrasen;N-Deposition;Jahreseintrag;17.01772179;kg-N/ha/a;Ostluft;15;15;25;geschätzt
2021;WIH;Winterthur-Hoh Wülflingen;mittel;Wald;aus NOx-Quellen;Jahreseintrag;8.618891272;kg-N/ha/a;Ostluft;5;10;20;NA
2021;WIH;Winterthur-Hoh Wülflingen;mittel;Wald;aus NH3-Quellen;Jahreseintrag;17.944241558999998;kg-N/ha/a;Ostluft;5;10;20;NA
2021;WIH;Winterthur-Hoh Wülflingen;mittel;Wald;N-Deposition;Jahreseintrag;26.56313283;kg-N/ha/a;Ostluft;5;10;20;geschätzt
2022;AEG;Knonau-Ägelsee;hoch;Hochmoor;aus NOx-Quellen;Jahreseintrag;4.7636576029999995;kg-N/ha/a;Ostluft;5;5;10;NA
2022;AEG;Knonau-Ägelsee;hoch;Hochmoor;aus NH3-Quellen;Jahreseintrag;14.419593496;kg-N/ha/a;Ostluft;5;5;10;NA
2022;AEG;Knonau-Ägelsee;hoch;Hochmoor;N-Deposition;Jahreseintrag;19.1832511;kg-N/ha/a;Ostluft;5;5;10;gemessen
2022;AEG;Knonau-Ägelsee;hoch;Wald;aus NOx-Quellen;Jahreseintrag;6.690348932;kg-N/ha/a;Ostluft;5;10;20;NA
2022;AEG;Knonau-Ägelsee;hoch;Wald;aus NH3-Quellen;Jahreseintrag;17.399104074;kg-N/ha/a;Ostluft;5;10;20;NA
2022;AEG;Knonau-Ägelsee;hoch;Wald;N-Deposition;Jahreseintrag;24.08945301;kg-N/ha/a;Ostluft;5;10;20;gemessen
2022;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;5.118302548;kg-N/ha/a;Ostluft;15;15;25;NA
2022;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;14.518898805000001;kg-N/ha/a;Ostluft;15;15;25;NA
2022;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;19.63720135;kg-N/ha/a;Ostluft;15;15;25;gemessen
2022;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;5.95929233;kg-N/ha/a;Ostluft;5;10;20;NA
2022;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;22.712629139;kg-N/ha/a;Ostluft;5;10;20;NA
2022;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;28.67192147;kg-N/ha/a;Ostluft;5;10;20;gemessen
2022;NET;Neerach-Turpenlöcher;mittel;Flachmoor;aus NOx-Quellen;Jahreseintrag;5.259246171;kg-N/ha/a;Ostluft;15;15;30;NA
2022;NET;Neerach-Turpenlöcher;mittel;Flachmoor;aus NH3-Quellen;Jahreseintrag;19.89007229;kg-N/ha/a;Ostluft;15;15;30;NA
2022;NET;Neerach-Turpenlöcher;mittel;Flachmoor;N-Deposition;Jahreseintrag;25.14931846;kg-N/ha/a;Ostluft;15;15;30;geschätzt
2022;OSD;Ossingen-Dachsenhuserriet;mittel;Flachmoor;aus NOx-Quellen;Jahreseintrag;4.916032351;kg-N/ha/a;Ostluft;15;15;25;NA
2022;OSD;Ossingen-Dachsenhuserriet;mittel;Flachmoor;aus NH3-Quellen;Jahreseintrag;15.630611285;kg-N/ha/a;Ostluft;15;15;25;NA
2022;OSD;Ossingen-Dachsenhuserriet;mittel;Flachmoor;N-Deposition;Jahreseintrag;20.54664363;kg-N/ha/a;Ostluft;15;15;25;geschätzt
2022;OSD;Ossingen-Dachsenhuserriet;mittel;Wald;aus NOx-Quellen;Jahreseintrag;7.050225579;kg-N/ha/a;Ostluft;5;10;20;NA
2022;OSD;Ossingen-Dachsenhuserriet;mittel;Wald;aus NH3-Quellen;Jahreseintrag;19.016101034000002;kg-N/ha/a;Ostluft;5;10;20;NA
2022;OSD;Ossingen-Dachsenhuserriet;mittel;Wald;N-Deposition;Jahreseintrag;26.06632661;kg-N/ha/a;Ostluft;5;10;20;geschätzt
2022;TAB;Tablat-Risihölzli;mittel;Trockenrasen;aus NOx-Quellen;Jahreseintrag;5.015007396;kg-N/ha/a;Ostluft;15;15;25;NA
2022;TAB;Tablat-Risihölzli;mittel;Trockenrasen;aus NH3-Quellen;Jahreseintrag;12.858771739;kg-N/ha/a;Ostluft;15;15;25;NA
2022;TAB;Tablat-Risihölzli;mittel;Trockenrasen;N-Deposition;Jahreseintrag;17.87377914;kg-N/ha/a;Ostluft;15;15;25;geschätzt
2022;TAB;Tablat-Risihölzli;mittel;Wald;aus NOx-Quellen;Jahreseintrag;6.730022818;kg-N/ha/a;Ostluft;5;10;20;NA
2022;TAB;Tablat-Risihölzli;mittel;Wald;aus NH3-Quellen;Jahreseintrag;21.018964575000002;kg-N/ha/a;Ostluft;5;10;20;NA
2022;TAB;Tablat-Risihölzli;mittel;Wald;N-Deposition;Jahreseintrag;27.74898739;kg-N/ha/a;Ostluft;5;10;20;geschätzt
2022;WIH;Winterthur-Hoh Wülflingen;mittel;Trockenrasen;aus NOx-Quellen;Jahreseintrag;5.632902509;kg-N/ha/a;Ostluft;15;15;25;NA
2022;WIH;Winterthur-Hoh Wülflingen;mittel;Trockenrasen;aus NH3-Quellen;Jahreseintrag;11.599702204;kg-N/ha/a;Ostluft;15;15;25;NA
2022;WIH;Winterthur-Hoh Wülflingen;mittel;Trockenrasen;N-Deposition;Jahreseintrag;17.23260471;kg-N/ha/a;Ostluft;15;15;25;geschätzt
2022;WIH;Winterthur-Hoh Wülflingen;mittel;Wald;aus NOx-Quellen;Jahreseintrag;8.242390139000001;kg-N/ha/a;Ostluft;5;10;20;NA
2022;WIH;Winterthur-Hoh Wülflingen;mittel;Wald;aus NH3-Quellen;Jahreseintrag;19.003725628999998;kg-N/ha/a;Ostluft;5;10;20;NA
2022;WIH;Winterthur-Hoh Wülflingen;mittel;Wald;N-Deposition;Jahreseintrag;27.24611577;kg-N/ha/a;Ostluft;5;10;20;geschätzt
