pollutant;metric;year;vehicle_fuel_type;emission;unit;n;standarderror;source
NOx;Mittelwert;2019;diesel;14.416081933759644;g/kg fuel;13799;0.11370389594727992;Kanton Zürich/AWEL
NOx;Mittelwert;2019;gasoline;2.17905569847137;g/kg fuel;17938;0.04145725854679388;Kanton Zürich/AWEL
NOx;Mittelwert;2020;all;5.768904622260719;g/kg fuel;29859;0.06582831924383149;Kanton Zürich/AWEL
NOx;Mittelwert;2020;diesel;11.39707757115641;g/kg fuel;12876;0.1220578836848514;Kanton Zürich/AWEL
NOx;Mittelwert;2020;gasoline;1.5017931054509144;g/kg fuel;16983;0.04842995254083466;Kanton Zürich/AWEL
NOx;Mittelwert;2021;all;5.3288370484616925;g/kg fuel;34836;0.05447801268965595;Kanton Zürich/AWEL
NOx;Mittelwert;2021;diesel;10.57588744037363;g/kg fuel;15499;0.0989747386531347;Kanton Zürich/AWEL
NOx;Mittelwert;2021;gasoline;1.1232191126783169;g/kg fuel;19337;0.03582085981276683;Kanton Zürich/AWEL
NOx;Mittelwert;2023;all;4.749053250591356;g/kg fuel;28119;0.06089198684969415;Kanton Zürich/AWEL
NOx;Mittelwert;2023;diesel;9.492044972591348;g/kg fuel;12201;0.11680928799601775;Kanton Zürich/AWEL
NOx;Mittelwert;2023;gasoline;1.1135938963934722;g/kg fuel;15918;0.0405077579781826;Kanton Zürich/AWEL
