year;pollutant;parameter;value
2014;Feinstaub PM10;relative Immission;-0.05076971363717042
2015;Feinstaub PM10;relative Immission;0
2016;Feinstaub PM10;relative Immission;-0.14712344322681203
2017;Feinstaub PM10;relative Immission;-0.1377510509897083
2018;Feinstaub PM10;relative Immission;-0.08298385317015788
2019;Feinstaub PM10;relative Immission;-0.20006060881963061
2020;Feinstaub PM10;relative Immission;-0.28828921814099495
2021;Feinstaub PM10;relative Immission;-0.24123395983626728
2022;Feinstaub PM10;relative Immission;-0.16199788565019746
2023;Feinstaub PM10;relative Immission;-0.25250949376083565
2024;Feinstaub PM10;relative Immission;-0.3436326778872788
1990;Feinstaub PM2.5;relative Immission;NA
1991;Feinstaub PM2.5;relative Immission;NA
1992;Feinstaub PM2.5;relative Immission;NA
1993;Feinstaub PM2.5;relative Immission;NA
1994;Feinstaub PM2.5;relative Immission;NA
1995;Feinstaub PM2.5;relative Immission;NA
1996;Feinstaub PM2.5;relative Immission;NA
1997;Feinstaub PM2.5;relative Immission;NA
1998;Feinstaub PM2.5;relative Immission;0.7092511013215856
1999;Feinstaub PM2.5;relative Immission;0.6475770925110129
2000;Feinstaub PM2.5;relative Immission;0.48898678414096874
2001;Feinstaub PM2.5;relative Immission;0.5682819383259912
2002;Feinstaub PM2.5;relative Immission;0.6475770925110129
2003;Feinstaub PM2.5;relative Immission;NA
2004;Feinstaub PM2.5;relative Immission;NA
2005;Feinstaub PM2.5;relative Immission;NA
2006;Feinstaub PM2.5;relative Immission;NA
2007;Feinstaub PM2.5;relative Immission;NA
2008;Feinstaub PM2.5;relative Immission;0.2951541850220263
2009;Feinstaub PM2.5;relative Immission;0.31277533039647554
2010;Feinstaub PM2.5;relative Immission;0.2951541850220263
2011;Feinstaub PM2.5;relative Immission;0.2643171806167399
2012;Feinstaub PM2.5;relative Immission;0.12334801762114522
2013;Feinstaub PM2.5;relative Immission;0.23348017621145356
2014;Feinstaub PM2.5;relative Immission;-0.20264317180616742
2015;Feinstaub PM2.5;relative Immission;0
2016;Feinstaub PM2.5;relative Immission;-0.06167400881057272
2017;Feinstaub PM2.5;relative Immission;-0.09505062643171824
2018;Feinstaub PM2.5;relative Immission;-0.026431718061674103
2019;Feinstaub PM2.5;relative Immission;-0.11781790872246711
2020;Feinstaub PM2.5;relative Immission;-0.22374483118942745
2021;Feinstaub PM2.5;relative Immission;-0.19018813383259925
2022;Feinstaub PM2.5;relative Immission;-0.17890136872246698
2023;Feinstaub PM2.5;relative Immission;-0.28687343563876655
2024;Feinstaub PM2.5;relative Immission;-0.36416774237885463
1990;Russ im Feinstaub;relative Emission;NA
1991;Russ im Feinstaub;relative Emission;NA
1992;Russ im Feinstaub;relative Emission;NA
1993;Russ im Feinstaub;relative Emission;NA
1994;Russ im Feinstaub;relative Emission;NA
1995;Russ im Feinstaub;relative Emission;NA
1996;Russ im Feinstaub;relative Emission;NA
1997;Russ im Feinstaub;relative Emission;NA
1998;Russ im Feinstaub;relative Emission;NA
1999;Russ im Feinstaub;relative Emission;NA
2000;Russ im Feinstaub;relative Emission;NA
2001;Russ im Feinstaub;relative Emission;NA
2002;Russ im Feinstaub;relative Emission;NA
2003;Russ im Feinstaub;relative Emission;NA
2004;Russ im Feinstaub;relative Emission;NA
2005;Russ im Feinstaub;relative Emission;NA
2006;Russ im Feinstaub;relative Emission;NA
2007;Russ im Feinstaub;relative Emission;NA
2008;Russ im Feinstaub;relative Emission;NA
2009;Russ im Feinstaub;relative Emission;NA
2010;Russ im Feinstaub;relative Emission;NA
2011;Russ im Feinstaub;relative Emission;NA
2012;Russ im Feinstaub;relative Emission;NA
2013;Russ im Feinstaub;relative Emission;NA
2014;Russ im Feinstaub;relative Emission;NA
2015;Russ im Feinstaub;relative Emission;0
2016;Russ im Feinstaub;relative Emission;NA
2017;Russ im Feinstaub;relative Emission;NA
2018;Russ im Feinstaub;relative Emission;NA
2019;Russ im Feinstaub;relative Emission;NA
2020;Russ im Feinstaub;relative Emission;-0.3284589723683605
2021;Russ im Feinstaub;relative Emission;-0.32157648240369585
2022;Russ im Feinstaub;relative Emission;NA
2023;Russ im Feinstaub;relative Emission;NA
2024;Russ im Feinstaub;relative Emission;NA
1990;Stickstoxide NO2 | NOx;relative Emission;NA
1991;Stickstoxide NO2 | NOx;relative Emission;NA
1992;Stickstoxide NO2 | NOx;relative Emission;NA
1993;Stickstoxide NO2 | NOx;relative Emission;NA
1994;Stickstoxide NO2 | NOx;relative Emission;NA
1995;Stickstoxide NO2 | NOx;relative Emission;NA
1996;Stickstoxide NO2 | NOx;relative Emission;NA
1997;Stickstoxide NO2 | NOx;relative Emission;NA
1998;Stickstoxide NO2 | NOx;relative Emission;NA
1999;Stickstoxide NO2 | NOx;relative Emission;NA
