year;site;canton;x;y;masl;ecosys;cln;siteclass;emissionclass;pollutant;metric;parameter;deposition;unit;part_est;source_cat;sampling;datasource;source
2006;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;6.026886795600537;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2008;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;4.815758344104085;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2009;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;4.86158716233676;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2013;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;7.140471931079257;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2014;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH4-N_bdep;6.726714674643278;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2017;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NO3-N_bdep;3.180716228223853;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2019;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NO3-N_bdep;2.5834607000454;kg/ha/a;0.0015867682198327238;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2019;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;NO3-N_bdep;3.086915782398077;kg/ha/a;0.08333333333333337;aus NOx-Quellen;Bulk Dep PS, GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2020;TAB;ZH;2707669;1252229;646;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;5.831539039395584;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2021;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;4.9110998921586955;kg/ha/a;0.08333333333333337;aus NH3-Quellen;Bulk Dep PS, GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2021;WIH;ZH;2693935;1261383;516;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.918995911583225;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2022;OSD;ZH;2694191;1275542;410;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.2581916506239903;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2022;OSD;ZH;2694191;1275542;410;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.2581916506239903;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2024;TAB;ZH;2707669;1252229;646;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.451850490441052;kg/ha/a;0.006748431899641694;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2025;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;4.363875875131843;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2025;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;2.667463087396746;kg/ha/a;-1.1200716845882752e-4;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2025;NET;ZH;2678603;1262147;409;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;5.485494090893262;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2005;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;5.589545684848761;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2010;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;5.136553141522264;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2013;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;7.689171849459226;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2015;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;3.979291456524138;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2017;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;5.205772663995613;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2017;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO3-N_bdep;5.4396935577062395;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2019;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;8.142447788802038;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2020;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;NO3-N_bdep;2.679217310433979;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2021;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NO3-N_bdep;2.403169776303767;kg/ha/a;0.08333333333333337;aus NOx-Quellen;Bulk Dep PS, GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2021;OSD;ZH;2694191;1275542;410;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;5.291914011066815;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2021;OSD;ZH;2694191;1275542;410;Wald;6;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;5.291914011066815;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2022;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO3-N_bdep;3.5698299626977614;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2024;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NO3-N_bdep;2.3210323283261776;kg/ha/a;4.424283154121911e-4;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2024;RIH;ZH;2695937;1242440;437;Flachmoor;5;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.9090132096169756;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2024;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH4-N_bdep;3.710829854194509;kg/ha/a;0.006645758661887768;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2025;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;NH4-N_bdep;5.773385307439168;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
