year;site;canton;x;y;masl;ecosys;cln;siteclass;emissionclass;pollutant;metric;parameter;deposition;unit;part_est;source_cat;sampling;datasource;source
2025;REC;ZH;2679042;1254381;438;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.705784510213286;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2004;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;5.058745983090425;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2006;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;9.855670097998823;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2012;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO3-N_bdep;6.065319974051796;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2013;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO3-N_bdep;6.477379530980929;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2014;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.809875400103682;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2015;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH4-N_bdep;6.280487128445081;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2019;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;5.330375472820854;kg/ha/a;0.0015120967741935054;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2020;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;4.8889423582315334;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2021;WIH;ZH;2693935;1261383;516;Wald;6;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;5.397680179711643;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2022;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;5.13016330731757;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2022;WIH;ZH;2693935;1261383;516;Wald;6;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;4.906581981066107;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2024;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;5.583576056929192;kg/ha/a;4.424283154121911e-4;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2024;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;3.1568068465314503;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2024;TAB;ZH;2707669;1252229;646;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;5.017828112606917;kg/ha/a;0.006748431899641694;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2025;WIH;ZH;2693935;1261383;516;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.654684527190459;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2025;ZUK;ZH;2679889;1253923;439;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.7756205462098857;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2001;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;8.026201293217788;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2003;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;5.276327042546877;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2004;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;7.958620053329743;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2008;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.5444045658024335;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2014;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;4.708394451593702;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2014;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO3-N_bdep;5.337705317438697;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2021;WAB;ZH;2677272;1271915;427;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.7306193784160975;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2022;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;3.7944354490075463;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2022;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;NH4-N_bdep;5.4533291539826445;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2022;TAB;ZH;2707669;1252229;646;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.760077411843054;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2023;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;3.2964135321517305;kg/ha/a;1.306750298685211e-4;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2024;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.699052088953278;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2025;OSD;ZH;2694191;1275542;410;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.4499863202199825;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2025;OSD;ZH;2694191;1275542;410;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.4499863202199825;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2004;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;5.058745983090425;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2006;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;9.855670097998823;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2014;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.809875400103682;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2019;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;4.457764213272028;kg/ha/a;0.0015867682198327238;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2020;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;5.661875255627604;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2020;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;4.8889423582315334;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2021;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;2.72190003530728;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2021;WIH;ZH;2693935;1261383;516;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;5.397680179711643;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2022;WIH;ZH;2693935;1261383;516;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;4.906581981066107;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2024;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;3.1568068465314503;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2024;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;NH4-N_bdep;4.163389817218757;kg/ha/a;0.007019115890083527;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2024;TAB;ZH;2707669;1252229;646;Wald;6;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;5.017828112606917;kg/ha/a;0.006748431899641694;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2025;REC;ZH;2679042;1254381;438;Wald;6;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;4.897030624655813;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2025;WIH;ZH;2693935;1261383;516;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.654684527190459;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2025;ZUK;ZH;2679889;1253923;439;Hochmoor;5;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;5.258119092018286;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2007;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;4.920019687304523;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2010;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.375232828808485;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2013;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;5.608127220350789;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2016;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;4.8972589455527;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2016;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO3-N_bdep;5.549695499667085;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2018;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.644992958846408;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2018;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;3.6504347760997917;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2019;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;3.978628377367927;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2019;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH4-N_bdep;6.949204743899714;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2020;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;7.2067016930777035;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2020;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;5.633755190771274;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2021;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;5.922291517938613;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2022;WIH;ZH;2693935;1261383;516;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.506739220571099;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2024;BUE;ZH;2704475;1234943;494;Hochmoor;5;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;3.0218476452412557;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2007;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;7.512580945290833;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2008;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO3-N_bdep;4.376764227212181;kg/ha/a;0.08333333333333337;aus NOx-Quellen;Bulk Dep PS, GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2009;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;7.2179274254773444;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2012;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.845002872584207;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2012;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;5.343922658955177;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2015;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;7.178438834844273;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2016;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.793161100193923;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2017;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;7.502767384822486;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2019;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.813113259174339;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2021;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;3.1247837250839283;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2021;OSD;ZH;2694191;1275542;410;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.714193465255727;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2021;OSD;ZH;2694191;1275542;410;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.714193465255727;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2022;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;7.452921840367266;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2022;NET;ZH;2678603;1262147;409;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;5.070940145187104;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2022;NET;ZH;2678603;1262147;409;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.370108398048538;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2024;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NO3-N_bdep;3.0447449977050325;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2024;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;2.8404282572295982;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2025;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NO3-N_bdep;2.2969432378738937;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2025;WAB;ZH;2677272;1271915;427;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_bdep;2.465057675881657;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2003;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9467233344000026;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2004;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;5.186119756509144;kg/ha/a;0.002650836320191252;aus NH3-Quellen;PS;Ostluft;Ostluft
2005;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.2622977792000034;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2007;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.2622977792000034;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2008;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9651753611193123;kg/ha/a;0.0018947879330943884;aus NOx-Quellen;Denuder;FUB;Ostluft
2008;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH4-N_adep;0.4279318043760019;kg/ha/a;1;aus NH3-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2011;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;1.77508066938517;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2013;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;9.289296459845183;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2013;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO2-N_gdep;6.7406625946778576;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2014;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.8427601263898428;kg/ha/a;0;aus NH3-Quellen;Denuder;FUB;Ostluft
2015;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH4-N_adep;0.7326978547969774;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2015;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO2-N_gdep;6.3686858847571886;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2016;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.4927169720407605;kg/ha/a;0;aus NH3-Quellen;Denuder;FUB;Ostluft
2017;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;HNO3-N_gdep;1.0048027395911068;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2018;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.6530273567725281;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2019;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.38220977549416063;kg/ha/a;0;aus NH3-Quellen;Denuder;FUB;Ostluft
2019;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NH4-N_adep;0.3713973386707382;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2019;TAB;ZH;2707669;1252229;646;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.6852442839779287;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2019;TAB;ZH;2707669;1252229;646;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.2568234009806181;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2020;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.5977187875327735;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
2020;TAB;ZH;2707669;1252229;646;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.7984697212028058;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2021;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NH4-N_adep;0.2802517230880121;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2021;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;1.1195303862173485;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2021;WAB;ZH;2677272;1271915;427;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.17804850473096318;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2022;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NO3-N_adep;0.18990186291919314;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2022;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NO3-N_adep;0.22909425270317615;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2022;TAB;ZH;2707669;1252229;646;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NH4-N_adep;0.3694554698625441;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2023;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.6308582943394955;kg/ha/a;0;aus NH3-Quellen;Denuder;FUB;Ostluft
2024;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;HNO3-N_gdep;0.7250507614186633;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2024;NET;ZH;2678603;1262147;409;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;1.523668695652174;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2024;OSD;ZH;2694191;1275542;410;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NH4-N_adep;0.2492851080359045;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2024;OSD;ZH;2694191;1275542;410;Wald;6;mittel;mittel;Ndep;Jahressumme;NH4-N_adep;0.498570216071809;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2024;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;NO3-N_adep;0.17537350588114847;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2025;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;HNO3-N_gdep;1.0578468487355472;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2025;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NH3-N_gdep;7.846882972882125;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2025;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9563045857785534;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2025;WAB;ZH;2677272;1271915;427;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.816802332044733;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2025;WIH;ZH;2693935;1261383;516;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NH4-N_adep;0.3610315230064897;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2002;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.8364578624859685;kg/ha/a;0.0013440860215053752;aus NOx-Quellen;Denuder;FUB;Ostluft
2003;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.48639058773246263;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
