year;site;pollutant;type;value;relative Immission;reference_year
2000;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2001;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2002;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2003;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2004;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2005;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2006;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2007;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2008;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2009;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2010;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2011;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2012;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2013;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2014;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2015;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;NA;NA;2021
2016;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;9.760989010989011;1.1356880294070641;2021
2017;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;9.6;1.116957008150871;2021
2018;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;10.810684931506849;1.2578198226205828;2021
2019;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;9.03917808219178;1.0517055527945687;2021
2020;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;8.373901098901099;0.9743007831229025;2021
2021;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;8.594780219780219;1;2021
2022;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;9.550684931506849;1.111219215300781;2021
2023;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;8.086301369863014;0.9408386442800503;2021
2024;Dübendorf-EMPA;Feinstaub PM2.5;gemessen;7.240710382513661;0.8424543964311884;2021
2000;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2001;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2002;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2003;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2004;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2005;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2006;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2007;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2008;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2009;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2010;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2011;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2012;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2013;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2014;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2015;Dübendorf-EMPA;Feinstaub PM2.5;Trend;NA;NA;2021
2016;Dübendorf-EMPA;Feinstaub PM2.5;Trend;9.697967659500552;1.090285156551265;2021
2017;Dübendorf-EMPA;Feinstaub PM2.5;Trend;9.463156629325216;1.063886740946746;2021
2018;Dübendorf-EMPA;Feinstaub PM2.5;Trend;9.427468272754947;1.059874510055034;2021
2019;Dübendorf-EMPA;Feinstaub PM2.5;Trend;9.171129810248605;1.031055892532625;2021
2020;Dübendorf-EMPA;Feinstaub PM2.5;Trend;8.965452299704925;1.007932786263807;2021
2021;Dübendorf-EMPA;Feinstaub PM2.5;Trend;8.89489103032153;1;2021
2022;Dübendorf-EMPA;Feinstaub PM2.5;Trend;8.907465252511415;1.0014136454451237;2021
2023;Dübendorf-EMPA;Feinstaub PM2.5;Trend;8.724840715271435;0.9808822486447091;2021
2024;Dübendorf-EMPA;Feinstaub PM2.5;Trend;8.558870345324832;0.9622231813912901;2021
2020;Klo_Feld;Feinstaub PM2.5;gemessen;8.913563941825657;0.9689221132360614;2021
2021;Klo_Feld;Feinstaub PM2.5;gemessen;9.199463837248619;1;2021
2022;Klo_Feld;Feinstaub PM2.5;gemessen;8.74205585364835;0.9502788432356;2021
2023;Klo_Feld;Feinstaub PM2.5;gemessen;7.895514290326923;0.8582580930812506;2021
2024;Klo_Feld;Feinstaub PM2.5;gemessen;NA;NA;2021
2020;Klo_Feld;Feinstaub PM2.5;Trend;8.900705298903452;1.0142497033077704;2021
2021;Klo_Feld;Feinstaub PM2.5;Trend;8.775654821367558;1;2021
2022;Klo_Feld;Feinstaub PM2.5;Trend;8.504465552627657;0.9690975460794571;2021
2023;Klo_Feld;Feinstaub PM2.5;Trend;8.405451612462628;0.9578147481366821;2021
2024;Klo_Feld;Feinstaub PM2.5;Trend;NA;NA;2021
2001;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2002;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2003;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2004;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2006;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2007;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2008;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2009;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2010;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2011;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2012;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2013;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2014;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2015;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2016;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2017;Opf_Balsberg;Feinstaub PM2.5;gemessen;NA;NA;2021
2018;Opf_Balsberg;Feinstaub PM2.5;gemessen;10.68478330241096;1.2200953004182382;2021
2019;Opf_Balsberg;Feinstaub PM2.5;gemessen;9.55115288785989;1.090646054508605;2021
2020;Opf_Balsberg;Feinstaub PM2.5;gemessen;9.1927899601694;1.0497245953133933;2021
2021;Opf_Balsberg;Feinstaub PM2.5;gemessen;8.757335020263014;1;2021
2022;Opf_Balsberg;Feinstaub PM2.5;gemessen;8.79821365090884;1.0046679304321737;2021
2023;Opf_Balsberg;Feinstaub PM2.5;gemessen;8.289409649309588;0.9465676064840818;2021
2024;Opf_Balsberg;Feinstaub PM2.5;gemessen;7.6362604349699454;0.8719845041100873;2021
2001;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2002;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2003;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2004;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2006;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2007;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2008;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2009;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2010;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2011;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2012;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2013;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2014;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2015;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2016;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2017;Opf_Balsberg;Feinstaub PM2.5;Trend;NA;NA;2021
2018;Opf_Balsberg;Feinstaub PM2.5;Trend;10.03796125519499;1.1199210052618886;2021
2019;Opf_Balsberg;Feinstaub PM2.5;Trend;9.541038804720833;1.064480076957428;2021
2020;Opf_Balsberg;Feinstaub PM2.5;Trend;9.164810577108918;1.022504830773152;2021
2021;Opf_Balsberg;Feinstaub PM2.5;Trend;8.963097582804652;1;2021
2022;Opf_Balsberg;Feinstaub PM2.5;Trend;8.812430131435871;0.983190247570457;2021
2023;Opf_Balsberg;Feinstaub PM2.5;Trend;8.592834330553266;0.9586902576000377;2021
2024;Opf_Balsberg;Feinstaub PM2.5;Trend;8.362750859865328;0.9330201732835013;2021
2013;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2014;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2015;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2016;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2017;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2018;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;13.041767996382717;1.1107294803124246;2021
2019;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;10.971571243711049;0.934416838968303;2021
2020;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;11.68274807587569;0.9949857030532616;2021
2021;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;11.741624065577465;1;2021
2022;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;9.78398647891989;0.8332736957235143;2021
2023;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;9.261977648910959;0.788815720651796;2021
2024;Zch_Rosengartenstrasse;Feinstaub PM2.5;gemessen;8.282110121379938;0.7053632508692157;2021
2013;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2014;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2015;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2016;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2017;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2018;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;12.14357739079815;1.0628666699492413;2021
2019;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;11.530164824873395;1.0091777321455015;2021
2020;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;11.446572024993786;1.0018612719311417;2021
2021;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;11.425306422844253;1;2021
2022;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;9.883191259381613;0.8650263628484163;2021
2023;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;9.23755034365849;0.8085166385724704;2021
2024;Zch_Rosengartenstrasse;Feinstaub PM2.5;Trend;8.890920512792672;0.7781778609469747;2021
1990;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1991;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1992;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1993;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1994;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1995;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1996;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1997;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1998;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1999;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2000;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2001;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2002;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2003;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2004;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2005;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2006;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2007;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2008;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2009;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2010;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2011;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2012;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2013;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2014;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2015;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2016;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2017;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;11.334255229333333;1.1453184554331564;2021
2018;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;12.88332425939944;1.3018507826991805;2021
2019;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;10.579738752922864;1.069075100411043;2021
2020;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;9.782055780096867;0.9884698015292975;2021
2021;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;9.896160474465374;1;2021
2022;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;10.445637577147945;1.0555242716708528;2021
2023;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;8.857628908645893;0.895057121547376;2021
2024;Zch_Schimmelstrasse;Feinstaub PM2.5;gemessen;7.750467938438017;0.7831792904365493;2021
1990;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1991;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1992;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1993;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1994;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1995;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1996;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1997;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1998;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1999;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2000;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2001;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2002;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2003;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2004;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2005;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2006;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2007;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2008;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2009;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2010;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2011;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2012;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2013;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2014;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2015;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2016;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2017;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;11.383934609147074;1.1164249861035371;2021
2018;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;11.174657642611686;1.0959011476875709;2021
2019;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;10.799090734124123;1.0590692178684842;2021
2020;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;10.349944049746146;1.0150213031464317;2021
2021;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;10.196775198375335;1;2021
2022;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;9.827853261747357;0.9638197440415517;2021
2023;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;9.312373034243024;0.9132664840671172;2021
2024;Zch_Schimmelstrasse;Feinstaub PM2.5;Trend;8.922565852192866;0.8750380074687251;2021
1990;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1991;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1992;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1993;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1994;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1995;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1996;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1997;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1998;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
1999;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2000;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2001;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2002;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2003;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2004;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2005;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2006;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2007;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2008;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2009;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2010;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2011;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2012;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2013;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2014;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2015;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2016;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;NA;NA;2021
2017;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;10.448020442136364;1.0631947660350927;2021
2018;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;11.897344107085873;1.210678525604579;2021
2019;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;10.19454974631233;1.0374014859935883;2021
2020;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;9.652838105035912;0.982276691311659;2021
2021;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;9.827005150805556;1;2021
2022;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;9.844607820774193;1.001791254781951;2021
2023;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;8.711391300073972;0.8864746854599813;2021
2024;Zch_Stampfenbachstrasse;Feinstaub PM2.5;gemessen;7.4666815745137365;0.7598125227299454;2021
1990;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1991;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1992;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1993;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1994;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1995;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1996;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1997;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1998;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
1999;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2000;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2001;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2002;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2003;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2004;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2005;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2006;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2007;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2008;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2009;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2010;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2011;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2012;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2013;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2014;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2015;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2016;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;NA;NA;2021
2017;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;10.86673098581267;1.105648903827471;2021
2018;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;10.386103715754675;1.056746891347085;2021
2019;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;10.127916985695334;1.0304773650796542;2021
2020;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;9.875786009633806;1.00482398894774;2021
2021;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;9.828374041881515;1;2021
2022;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;9.502835707769128;0.9668777019754056;2021
2023;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;9.031551477327717;0.918926308547242;2021
2024;Zch_Stampfenbachstrasse;Feinstaub PM2.5;Trend;8.547146566831902;0.8696399353962379;2021
2000;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2001;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2002;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2003;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2004;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2005;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2006;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2007;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2008;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2009;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2010;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2011;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2012;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2013;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2014;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2015;Zürich-Kaserne;Feinstaub PM2.5;gemessen;NA;NA;2021
2016;Zürich-Kaserne;Feinstaub PM2.5;gemessen;10.289750692520776;1.1489366462021118;2021
2017;Zürich-Kaserne;Feinstaub PM2.5;gemessen;10.40611111111111;1.1619292592479291;2021
2018;Zürich-Kaserne;Feinstaub PM2.5;gemessen;11.35917808219178;1.2683471504175716;2021
2019;Zürich-Kaserne;Feinstaub PM2.5;gemessen;9.50771349862259;1.0616156587834578;2021
2020;Zürich-Kaserne;Feinstaub PM2.5;gemessen;8.297540983606558;0.9264897852538755;2021
2021;Zürich-Kaserne;Feinstaub PM2.5;gemessen;8.955890410958904;1;2021
2022;Zürich-Kaserne;Feinstaub PM2.5;gemessen;8.905785123966941;0.9944053260264718;2021
2023;Zürich-Kaserne;Feinstaub PM2.5;gemessen;7.291780821917809;0.814188259047386;2021
2024;Zürich-Kaserne;Feinstaub PM2.5;gemessen;6.807377049180328;0.7601005301327112;2021
2000;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2001;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2002;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2003;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2004;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2005;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2006;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2007;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2008;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2009;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2010;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2011;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2012;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2013;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2014;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2015;Zürich-Kaserne;Feinstaub PM2.5;Trend;NA;NA;2021
2016;Zürich-Kaserne;Feinstaub PM2.5;Trend;10.30537194403406;1.151239381404239;2021
2017;Zürich-Kaserne;Feinstaub PM2.5;Trend;9.86821790308642;1.1024037886267966;2021
