empfindl. Ökosystem;Überschreitung Critical Load;Anteil an Ökosystem-Gesamtfläche
Wald;4.090275;0.134328358208955
Wald;4.101486;0.136460554371002
Wald;4.1281157;0.138592750533049
Trockenwiesen/-weiden;4.1301975;0.329113924050633
Flachmoore;4.131977;0.0450516986706056
Wald;4.135494;0.140724946695096
Wald;4.1854706;0.142857142857143
Wald;4.2514286;0.14498933901919
Wald;4.2547817;0.147121535181237
Wald;4.267042;0.149253731343284
Flachmoore;4.2686005;0.0457902511078287
Wald;4.3744297;0.151385927505331
Trockenwiesen/-weiden;4.3854656;0.341772151898734
Wald;4.3892365;0.153518123667377
Flachmoore;4.4384327;0.0465288035450517
Wald;4.47775;0.155650319829424
Wald;4.5032215;0.157782515991471
Wald;4.5059824;0.159914712153518
Wald;4.5256824;0.162046908315565
Wald;4.576028;0.164179104477612
Trockenwiesen/-weiden;4.6004505;0.354430379746835
Trockenwiesen/-weiden;4.60775;0.367088607594937
Flachmoore;4.6673336;0.0472673559822747
Wald;4.682575;0.166311300639659
Flachmoore;4.720497;0.0480059084194978
Flachmoore;4.772896;0.0487444608567208
Wald;4.7776127;0.168443496801706
Wald;4.7790365;0.170575692963753
Flachmoore;4.791197;0.0494830132939439
Flachmoore;4.8055305;0.0502215657311669
Wald;4.8280525;0.1727078891258
Trockenwiesen/-weiden;4.854479;0.379746835443038
Trockenwiesen/-weiden;4.856613;0.392405063291139
Wald;4.86199;0.174840085287846
Wald;4.8804607;0.176972281449893
Flachmoore;4.8849087;0.05096011816839
Trockenwiesen/-weiden;4.9003334;0.40506329113924
Trockenwiesen/-weiden;4.924885;0.417721518987342
Trockenwiesen/-weiden;4.9423943;0.430379746835443
Flachmoore;4.950716;0.051698670605613
Flachmoore;4.983553;0.052437223042836
Flachmoore;5.0252075;0.0531757754800591
Wald;5.026162;0.17910447761194
Wald;5.03743;0.181236673773987
Trockenwiesen/-weiden;5.050432;0.443037974683544
Wald;5.0600796;0.183368869936034
Flachmoore;5.063526;0.0539143279172821
Flachmoore;5.0825977;0.0546528803545052
Flachmoore;5.0830154;0.0553914327917282
Wald;5.098254;0.185501066098081
Wald;5.1192436;0.187633262260128
Wald;5.1290245;0.189765458422175
Flachmoore;5.151327;0.0561299852289513
Flachmoore;5.1611576;0.0568685376661743
Wald;5.1800747;0.191897654584222
Wald;5.1822405;0.194029850746269
Wald;5.194298;0.196162046908316
Flachmoore;5.196432;0.0576070901033973
Wald;5.201622;0.198294243070362
Wald;5.206526;0.200426439232409
Wald;5.2228394;0.202558635394456
Trockenwiesen/-weiden;5.226364;0.455696202531646
Wald;5.228979;0.204690831556503
Trockenwiesen/-weiden;5.234413;0.468354430379747
Wald;5.234661;0.20682302771855
Wald;5.2819366;0.208955223880597
Wald;5.286742;0.211087420042644
Wald;5.2904434;0.213219616204691
Wald;5.2953644;0.215351812366738
Flachmoore;5.29615;0.0583456425406204
Flachmoore;5.3082333;0.0590841949778434
Flachmoore;5.3168335;0.0598227474150665
Wald;5.3286343;0.217484008528785
Trockenwiesen/-weiden;5.346176;0.481012658227848
Wald;5.353614;0.219616204690832
Wald;5.365059;0.221748400852878
Wald;5.370635;0.223880597014925
Trockenwiesen/-weiden;5.3870544;0.493670886075949
Wald;5.4098644;0.226012793176972
Flachmoore;5.414072;0.0605612998522895
Wald;5.4261074;0.228144989339019
Wald;5.4420004;0.230277185501066
Wald;5.4463234;0.232409381663113
Wald;5.448372;0.23454157782516
Trockenwiesen/-weiden;5.493454;0.506329113924051
Wald;5.4992886;0.236673773987207
Wald;5.554082;0.238805970149254
Flachmoore;5.5650043;0.0612998522895126
Wald;5.5719967;0.240938166311301
Wald;5.587634;0.243070362473348
Wald;5.596981;0.245202558635394
Trockenwiesen/-weiden;5.611452;0.518987341772152
Wald;5.611637;0.247334754797441
Wald;5.6659946;0.249466950959488
Flachmoore;5.695486;0.0620384047267356
Flachmoore;5.698168;0.0627769571639586
Wald;5.727236;0.251599147121535
Flachmoore;5.728916;0.0635155096011817
Wald;5.748564;0.253731343283582
Wald;5.748869;0.255863539445629
Wald;5.777361;0.257995735607676
Flachmoore;5.779934;0.0642540620384047
Trockenwiesen/-weiden;5.796179;0.531645569620253
Wald;5.851534;0.260127931769723
Flachmoore;5.8516674;0.0649926144756278
Wald;5.860009;0.26226012793177
Wald;5.899309;0.264392324093817
Flachmoore;5.948805;0.0657311669128508
Wald;5.977413;0.266524520255864
Wald;5.9800262;0.26865671641791
Wald;5.9908934;0.270788912579957
Trockenwiesen/-weiden;5.993862;0.544303797468354
Wald;6.0643654;0.272921108742004
Flachmoore;6.074478;0.0664697193500739
Flachmoore;6.0745583;0.0672082717872969
Wald;6.0871325;0.275053304904051
Flachmoore;6.094269;0.0679468242245199
Wald;6.129678;0.277185501066098
Wald;6.1499004;0.279317697228145
Trockenwiesen/-weiden;6.1778603;0.556962025316456
Trockenwiesen/-weiden;6.178196;0.569620253164557
Wald;6.1793976;0.281449893390192
Wald;6.1816874;0.283582089552239
Wald;6.18861;0.285714285714286
Flachmoore;6.1914406;0.068685376661743
Wald;6.2103806;0.287846481876333
Wald;6.2382717;0.28997867803838
Wald;6.2393265;0.292110874200426
Wald;6.2628994;0.294243070362473
Flachmoore;6.2631207;0.069423929098966
Wald;6.266464;0.29637526652452
Flachmoore;6.268938;0.0701624815361891
Wald;6.2874336;0.298507462686567
Wald;6.3211784;0.300639658848614
Flachmoore;6.340637;0.0709010339734121
Flachmoore;6.36248;0.0716395864106352
Wald;6.3639383;0.302771855010661
Flachmoore;6.3789635;0.0723781388478582
Flachmoore;6.3971043;0.0731166912850812
Wald;6.4179;0.304904051172708
Wald;6.450138;0.307036247334755
Flachmoore;6.451048;0.0738552437223043
Flachmoore;6.4524555;0.0745937961595273
Wald;6.4735794;0.309168443496802
Flachmoore;6.4783344;0.0753323485967504
Flachmoore;6.4791775;0.0760709010339734
Wald;6.4835844;0.311300639658849
Wald;6.4862537;0.313432835820896
Flachmoore;6.493042;0.0768094534711965
Flachmoore;6.4956913;0.0775480059084195
Wald;6.51458;0.315565031982942
Trockenwiesen/-weiden;6.5281963;0.582278481012658
Flachmoore;6.5513973;0.0782865583456425
Flachmoore;6.5543957;0.0790251107828656
Flachmoore;6.5557213;0.0797636632200886
Flachmoore;6.555788;0.0805022156573117
Flachmoore;6.5576534;0.0812407680945347
Wald;6.5665455;0.317697228144989
Wald;6.580386;0.319829424307036
Flachmoore;6.58737;0.0819793205317578
Flachmoore;6.5915985;0.0827178729689808
Flachmoore;6.592985;0.0834564254062038
Wald;6.5977173;0.321961620469083
Wald;6.6208296;0.32409381663113
Flachmoore;6.6346188;0.0841949778434269
