vehicle_model_year;vehicle_type;vehicle_fuel_type;NOx_emission;unit;n;standarderror;NOx_emission_threshold_g_per_kg_fuel;source
2003;light duty vehicle;gasoline;1.7461059710051559;g/kg fuel;349;0.32255522456991914;2.6;Kanton Zürich/AWEL
2003;light duty vehicle;diesel;23.162414224431696;g/kg fuel;991;0.4062988355611702;10.3;Kanton Zürich/AWEL
2004;passenger car;gasoline;1.240526083676793;g/kg fuel;14094;0.03774170441448362;2.6;Kanton Zürich/AWEL
2004;passenger car;diesel;17.233385367142546;g/kg fuel;4584;0.1727852517963416;10.3;Kanton Zürich/AWEL
2004;light duty vehicle;gasoline;1.0786798536660385;g/kg fuel;358;0.1860999018752813;2.6;Kanton Zürich/AWEL
2004;light duty vehicle;diesel;21.9010352455921;g/kg fuel;794;0.4661316644672831;10.3;Kanton Zürich/AWEL
2005;passenger car;gasoline;1.1628594607077494;g/kg fuel;19420;0.03367298165308122;1.4;Kanton Zürich/AWEL
2005;passenger car;diesel;16.293662016487062;g/kg fuel;7396;0.13983581294110692;4.4;Kanton Zürich/AWEL
2005;light duty vehicle;gasoline;1.8245266670362605;g/kg fuel;613;0.20823802480072773;1.4;Kanton Zürich/AWEL
2005;light duty vehicle;diesel;20.233089317588863;g/kg fuel;740;0.43457032351912633;4.4;Kanton Zürich/AWEL
2006;passenger car;gasoline;0.9443674304461797;g/kg fuel;12570;0.03129282521573222;1.4;Kanton Zürich/AWEL
2006;passenger car;diesel;16.807235013852015;g/kg fuel;7505;0.1400315963893142;4.4;Kanton Zürich/AWEL
2006;light duty vehicle;gasoline;3.009623664971969;g/kg fuel;250;0.5068293446600147;1.4;Kanton Zürich/AWEL
2006;light duty vehicle;diesel;20.152758205861158;g/kg fuel;6249;0.16661726183062647;4.4;Kanton Zürich/AWEL
2007;passenger car;gasoline;1.27109332929535;g/kg fuel;14709;0.03480185982496962;1.4;Kanton Zürich/AWEL
2007;passenger car;diesel;16.02187064359932;g/kg fuel;6089;0.14902764774142532;4.4;Kanton Zürich/AWEL
2007;light duty vehicle;gasoline;2.315607872933706;g/kg fuel;288;0.49216300854076966;1.4;Kanton Zürich/AWEL
2007;light duty vehicle;diesel;19.64889642289753;g/kg fuel;1310;0.3647452948449068;4.4;Kanton Zürich/AWEL
2008;passenger car;gasoline;1.0730989808663607;g/kg fuel;10608;0.03904460254414516;1.4;Kanton Zürich/AWEL
2008;passenger car;diesel;17.215322079225107;g/kg fuel;5445;0.15756205453108807;4.4;Kanton Zürich/AWEL
2008;light duty vehicle;gasoline;0.5270076858269513;g/kg fuel;490;0.07770963735228346;1.4;Kanton Zürich/AWEL
2008;light duty vehicle;diesel;22.855351970875475;g/kg fuel;583;0.645964683887545;4.4;Kanton Zürich/AWEL
2009;passenger car;gasoline;0.9800077441085031;g/kg fuel;15044;0.033678786339232436;1;Kanton Zürich/AWEL
2009;passenger car;diesel;15.98275944312246;g/kg fuel;6422;0.1441041238280647;3.5;Kanton Zürich/AWEL
2009;light duty vehicle;gasoline;0.9697296779061638;g/kg fuel;202;0.18862665449643168;1;Kanton Zürich/AWEL
2009;light duty vehicle;diesel;21.063001148705276;g/kg fuel;1601;0.3270490182214445;3.5;Kanton Zürich/AWEL
2010;passenger car;gasoline;0.9606165237419306;g/kg fuel;15807;0.030678676189238308;1;Kanton Zürich/AWEL
2010;passenger car;diesel;16.48769730211606;g/kg fuel;8137;0.13711099104403987;3.5;Kanton Zürich/AWEL
2010;light duty vehicle;gasoline;1.2010695656481443;g/kg fuel;501;0.1876646106943728;1;Kanton Zürich/AWEL
2010;light duty vehicle;diesel;21.801843342964;g/kg fuel;1837;0.31897661644157044;3.5;Kanton Zürich/AWEL
2011;passenger car;gasoline;0.9121487552758333;g/kg fuel;11141;0.03578337072815874;1;Kanton Zürich/AWEL
2011;passenger car;diesel;15.424905190528825;g/kg fuel;8894;0.1319338324735155;3.5;Kanton Zürich/AWEL
2011;light duty vehicle;gasoline;0.667221844148382;g/kg fuel;399;0.0922258953128534;1;Kanton Zürich/AWEL
2011;light duty vehicle;diesel;21.165454579161043;g/kg fuel;2377;0.272042936354852;3.5;Kanton Zürich/AWEL
