year;geodb_oid;bfs;municipality;admin_boundary;parameter;unit;pop_weighted_mean;source
2015;2960;95;Regensberg;municipality;NO2;μg/m3;16.454874286966877;OSTLUFT, BAFU, BFS
2015;2961;86;Dielsdorf;municipality;NO2;μg/m3;20.519809976772375;OSTLUFT, BAFU, BFS
2015;2962;213;Brütten;municipality;NO2;μg/m3;17.758721848464592;OSTLUFT, BAFU, BFS
2015;2963;226;Schlatt (ZH);municipality;NO2;μg/m3;13.683663956039702;OSTLUFT, BAFU, BFS
2015;2964;90;Niederhasli;municipality;NO2;μg/m3;19.499128487699604;OSTLUFT, BAFU, BFS
2015;2965;63;Lufingen;municipality;NO2;μg/m3;19.782255011660453;OSTLUFT, BAFU, BFS
2015;2966;92;Oberglatt;municipality;NO2;μg/m3;19.913903799112934;OSTLUFT, BAFU, BFS
2015;2967;89;Niederglatt;municipality;NO2;μg/m3;18.951848738000873;OSTLUFT, BAFU, BFS
2015;2968;65;Oberembrach;municipality;NO2;μg/m3;18.025701249475443;OSTLUFT, BAFU, BFS
2015;2969;72;Winkel;municipality;NO2;μg/m3;18.62882236293303;OSTLUFT, BAFU, BFS
2015;2970;51;Bachenbülach;municipality;NO2;μg/m3;19.479704683842236;OSTLUFT, BAFU, BFS
2015;2971;294;Elgg;municipality;NO2;μg/m3;14.984765034635886;OSTLUFT, BAFU, BFS
2015;2972;101;Steinmaur;municipality;NO2;μg/m3;18.039147239350456;OSTLUFT, BAFU, BFS
2015;2973;60;Höri;municipality;NO2;μg/m3;19.45398406480099;OSTLUFT, BAFU, BFS
2015;2974;219;Elsau;municipality;NO2;μg/m3;17.712755234384673;OSTLUFT, BAFU, BFS
2015;2975;224;Pfungen;municipality;NO2;μg/m3;18.800692437758737;OSTLUFT, BAFU, BFS
2015;2976;99;Schöfflisdorf;municipality;NO2;μg/m3;17.18160132658155;OSTLUFT, BAFU, BFS
2015;2977;98;Schleinikon;municipality;NO2;μg/m3;15.94245950756651;OSTLUFT, BAFU, BFS
2015;2978;88;Neerach;municipality;NO2;μg/m3;17.216527888042474;OSTLUFT, BAFU, BFS
2015;2979;61;Hüntwangen;municipality;NO2;μg/m3;15.062387091038712;OSTLUFT, BAFU, BFS
2015;2980;291;Andelfingen;municipality;NO2;μg/m3;16.36225591312755;OSTLUFT, BAFU, BFS
2015;2981;70;Wasterkingen;municipality;NO2;μg/m3;14.219998783170665;OSTLUFT, BAFU, BFS
2015;2982;33;Kleinandelfingen;municipality;NO2;μg/m3;17.69494185310924;OSTLUFT, BAFU, BFS
2015;2983;71;Wil (ZH);municipality;NO2;μg/m3;14.487593101002663;OSTLUFT, BAFU, BFS
2015;2984;67;Rafz;municipality;NO2;μg/m3;15.535298004357946;OSTLUFT, BAFU, BFS
2015;2985;37;Ossingen;municipality;NO2;μg/m3;15.593143623043792;OSTLUFT, BAFU, BFS
2015;2986;41;Truttikon;municipality;NO2;μg/m3;14.414626440750926;OSTLUFT, BAFU, BFS
2015;2987;35;Marthalen;municipality;NO2;μg/m3;15.310356833504077;OSTLUFT, BAFU, BFS
2015;2988;38;Rheinau;municipality;NO2;μg/m3;14.745594160722277;OSTLUFT, BAFU, BFS
2015;2989;40;Trüllikon;municipality;NO2;μg/m3;14.902877650836098;OSTLUFT, BAFU, BFS
2015;2990;292;Stammheim;municipality;NO2;μg/m3;14.56467097919433;OSTLUFT, BAFU, BFS
2015;2991;22;Benken (ZH);municipality;NO2;μg/m3;15.461594843269745;OSTLUFT, BAFU, BFS
2015;2992;25;Dachsen;municipality;NO2;μg/m3;15.6623404224131;OSTLUFT, BAFU, BFS
2015;2993;34;Laufen-Uhwiesen;municipality;NO2;μg/m3;15.467675004013744;OSTLUFT, BAFU, BFS
2015;2994;29;Flurlingen;municipality;NO2;μg/m3;18.329975891655398;OSTLUFT, BAFU, BFS
2015;2995;27;Feuerthalen;municipality;NO2;μg/m3;16.429450460113078;OSTLUFT, BAFU, BFS
2015;2996;56;Embrach;municipality;NO2;μg/m3;19.75975958979984;OSTLUFT, BAFU, BFS
2015;2997;93;Oberweningen;municipality;NO2;μg/m3;16.932545428585968;OSTLUFT, BAFU, BFS
2015;2998;220;Hagenbuch;municipality;NO2;μg/m3;15.785358933302073;OSTLUFT, BAFU, BFS
2015;2999;215;Dättlikon;municipality;NO2;μg/m3;16.752848375018203;OSTLUFT, BAFU, BFS
2015;3000;59;Hochfelden;municipality;NO2;μg/m3;17.11627401884301;OSTLUFT, BAFU, BFS
2015;3001;81;Bachs;municipality;NO2;μg/m3;14.645967191941029;OSTLUFT, BAFU, BFS
2015;3002;230;Winterthur;municipality;NO2;μg/m3;21.4841362609857;OSTLUFT, BAFU, BFS
2015;3003;68;Rorbas;municipality;NO2;μg/m3;17.869946829935834;OSTLUFT, BAFU, BFS
2015;3004;227;Seuzach;municipality;NO2;μg/m3;21.150137112371766;OSTLUFT, BAFU, BFS
2015;3005;298;Wiesendangen;municipality;NO2;μg/m3;19.184706212666647;OSTLUFT, BAFU, BFS
2015;3006;100;Stadel;municipality;NO2;μg/m3;15.416624770718755;OSTLUFT, BAFU, BFS
2015;3007;53;Bülach;municipality;NO2;μg/m3;19.560340878079344;OSTLUFT, BAFU, BFS
