year;site;site_long;source;parameter;interval;unit;value
2006;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;62.1239
2007;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;59.34
2008;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;55.79776791
2009;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;62.38373798
2010;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;61.16
2011;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;59.58915425
2012;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;56.61
2013;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;60.47
2014;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;53.63
2015;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;NA
2016;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;54.18
2017;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;51.72
2018;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;48.01
2019;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;46.84
2020;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;38.91
2021;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;38.26
2022;8000_0080;Zürich - Bellevue;OSTLUFT;NO2;y1;µg/m3;37.4
1994;8000_0090;Zürich - Rosengarten;OSTLUFT;NO2;y1;µg/m3;50.15
1995;8000_0090;Zürich - Rosengarten;OSTLUFT;NO2;y1;µg/m3;NA
1996;8000_0090;Zürich - Rosengarten;OSTLUFT;NO2;y1;µg/m3;NA
1997;8000_0090;Zürich - Rosengarten;OSTLUFT;NO2;y1;µg/m3;NA
1998;8000_0090;Zürich - Rosengarten;OSTLUFT;NO2;y1;µg/m3;NA
1999;8000_0090;Zürich - Rosengarten;OSTLUFT;NO2;y1;µg/m3;53.03
2000;8000_0090;Zürich - Rosengarten;OSTLUFT;NO2;y1;µg/m3;NA
2001;8000_0090;Zürich - Rosengarten;OSTLUFT;NO2;y1;µg/m3;45.02
2002;8000_0090;Zürich - Rosengarten;OSTLUFT;NO2;y1;µg/m3;45.29999924
2003;8000_0090;Zürich - Rosengarten;OSTLUFT;NO2;y1;µg/m3;52.05
2004;8000_0090;Zürich - Rosengarten;OSTLUFT;NO2;y1;µg/m3;46.32
2005;8000_0090;Zürich - Rosengarten;OSTLUFT;NO2;y1;µg/m3;49.72
2006;8000_0090;Zürich - Rosengarten;OSTLUFT;NO2;y1;µg/m3;52.7195
2007;8000_0090;Zürich - Rosengarten;OSTLUFT;NO2;y1;µg/m3;51.09
1994;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;28.41
1995;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
1996;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
1997;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
1998;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
1999;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;27.07
2000;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;26.32
2001;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;23.23
2002;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;23.39999962
2003;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;25.74
2004;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;23.04
2005;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;23.85
2006;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;24.7602
2007;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;22.11
2008;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;22.61060859
2009;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;23.19911129
2010;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;23.54
2011;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;22.07431873
2012;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;20.56
2013;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;20.11
2014;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;20.28
2015;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;20.15
2016;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;18.85
2017;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;17.11
2018;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;18.65
2019;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;15.93
2020;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;13.55
2021;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;14.68
2022;8000_0100;Zürich - Meientalstrasse;OSTLUFT;NO2;y1;µg/m3;13.58
1994;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;32.09
1995;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;32.59
1996;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;33.29
1997;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;33.37
1998;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;31.26
1999;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;30.63454224
2000;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;29.09
2001;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;25.02
2002;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;25.799999239999998
2003;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2004;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;25.18
2005;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;25.86
2006;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;26.3834
2007;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;24.49
2008;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;24.40112748
2009;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;24.92829748
2010;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;24.89
