year;site;site_long;source;parameter;interval;unit;value
2004;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;13.32
2005;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;NA
2006;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;NA
2007;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;13.86
2008;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;NA
2009;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;NA
2010;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;12.86972
2011;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;11.83992632
2012;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;NA
2013;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;12.01
2014;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;NA
2015;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;NA
2016;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;NA
2017;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;9.76
2018;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;10.04
2019;8164_0010;Bachs - Gemeindehausstrasse 8;OSTLUFT;NO2;y1;µg/m3;9.07
2019;8180_0030;Bülach - Gewerbe Feldermösli;OSTLUFT;NO2;y1;µg/m3;18.14
2019;8180_0040;Bülach - Glashütte;OSTLUFT;NO2;y1;µg/m3;20.47
2019;8180_0050;Bülach - Allmendstrasse;OSTLUFT;NO2;y1;µg/m3;19.24
2020;8180_0050;Bülach - Allmendstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2021;8180_0050;Bülach - Allmendstrasse;OSTLUFT;NO2;y1;µg/m3;16.34
2019;8180_0060;Bülach - Lindenhof;OSTLUFT;NO2;y1;µg/m3;18.32
2002;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;15.69999981
2003;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;17.03
2004;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;14.85
2005;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;15.32
2006;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;16.6478
2007;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;14.71
2008;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;15.8316873
2009;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;15.11943438
2010;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;14.91
2011;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;14.33148434
2012;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;13.85
2013;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;13.31
2014;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;12.53
2015;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;13.44
2016;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;12.21
2017;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;12.13
2018;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;11.25
2019;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;10.71
2020;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;9.15
2021;8181_0010;Höri - Pflanzgarten;OSTLUFT;NO2;y1;µg/m3;9.05
2022;8185_0010;Winkel - Niederrüti;OSTLUFT;NO2;y1;µg/m3;17.98
2004;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;35.22
2005;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;NA
2006;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;NA
2007;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;36.2
2008;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;33.91675112
2009;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;35.89484699
2010;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;37.26
2011;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;32.77503681
2012;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;32.23
2013;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;32.61
2014;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;30.65
2015;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;31.2
2016;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;31.18
2017;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;26.69
2018;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;25.37
2019;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;23.68
2020;8245_0010;Feuerthalen - Zürcherstrasse 21;OSTLUFT;NO2;y1;µg/m3;20.36
2002;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;38
2003;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;44.86
2004;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;40.14
2005;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;42.71
2006;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;44.6606
2007;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;42.49937552
2008;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;41.11057164
2009;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;41.5194901
2010;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;42.2
2011;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;40.32240142
2012;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;40
2013;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;42.16
2014;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;37.18
2015;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;NA
2016;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;NA
2017;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;NA
2018;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;NA
2019;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;38.75
2020;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;31.2
2021;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;30.48
2022;8302_0010;Kloten - Wilder Mann;OSTLUFT;NO2;y1;µg/m3;31.51
2019;8303_0010;Bassersdorf - Bachstrasse;OSTLUFT;NO2;y1;µg/m3;19.69
2020;8303_0010;Bassersdorf - Bachstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2021;8303_0010;Bassersdorf - Bachstrasse;OSTLUFT;NO2;y1;µg/m3;16.83
2019;8305_0010;Dietlikon - Gemeindehaus;OSTLUFT;NO2;y1;µg/m3;22.55
2020;8306_0010;Brüttisellen - Haldenstrasse;OSTLUFT;NO2;y1;µg/m3;23.15
2021;8306_0010;Brüttisellen - Haldenstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2022;8306_0010;Brüttisellen - Haldenstrasse;OSTLUFT;NO2;y1;µg/m3;21.25
2002;8308_0010;Illnau-Effretikon - Örmis;OSTLUFT;NO2;y1;µg/m3;15.899999619999999
2008;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;51.59103646
2009;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;52.08474527
2010;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;55.98
2011;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;53.27561696
2012;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;60.71
2013;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;62.31
2014;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;51.78
2015;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;56
2016;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;52.14
2017;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;51.47
2018;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;46.59
2019;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;40.13
2020;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;36.22
2021;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;35.08
2022;8308_0020;Illnau-Effretikon - Langhaag;OSTLUFT;NO2;y1;µg/m3;36.65
2020;8330_0020;Pfäffikon - Rappengasse;OSTLUFT;NO2;y1;µg/m3;13.42
2022;8330_0030;Pfäffikon - Hochstrasse;OSTLUFT;NO2;y1;µg/m3;23.5
1994;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;22
1995;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;22
1996;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;23
1997;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;22
1998;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;22
1999;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;21
2000;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;20
2001;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;18
2002;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;18.10000038
2003;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;20.55
2004;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;17.73
2005;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;18.35
2006;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;19.6618
2007;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;16.57
2008;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;18.0983208
2009;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;17.71723808
2010;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;18.74
2011;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;16.17736715
2012;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;17.14
2013;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;17.43
2014;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;14.81
2015;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;15.78
2016;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;15.34
2017;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;13.89
2018;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;13.86
2019;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;12.76
2020;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;11.12
2021;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;NA
2022;8400_0020;Winterthur - Sägeweg;OSTLUFT;NO2;y1;µg/m3;10.91
1994;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;44
1995;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;41
1996;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;41
1997;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;44
1998;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;44
1999;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;44
2000;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;41
2001;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;37
2002;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;36.70000076
2003;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;42.39
2004;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;40.01
2005;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;41.9
2006;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;44.4546
2007;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;43
2008;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;42.84060192
2009;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;45.56847054
2010;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;49.53
2011;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;45.43035157
2012;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;45.15
2013;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;49.76
2014;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;43.53
2015;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;45.14
2016;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;43.08
2017;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;40.78
2018;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;39.91
2019;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;39.91
2020;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;32.48
2021;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;31.98
2022;8400_0030;Winterthur - Breitestrasse 148;OSTLUFT;NO2;y1;µg/m3;29.41
1994;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;55
1995;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;54
1996;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;53
1997;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;52
1998;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;53
1999;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;51
2000;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;50
2001;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;48
2002;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;49.09999847
2003;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;57.59
2004;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;53.67
2005;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;56.28
2006;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;56.9285
2007;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;53.39
2008;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;51.65008412
2009;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;52.94903002
2010;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;54.56
2011;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;49.9369735
2012;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;53.67
2013;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;54.49
2014;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;47.83
2015;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;50.78
2016;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;48.69
2017;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;46.96
2018;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;43.19
2019;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;39.55
2020;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;34
2021;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;33.23
2022;8400_0040;Winterthur - Technikumstrasse 79;OSTLUFT;NO2;y1;µg/m3;32.71
1994;8400_0050;Winterthur - Güterstrasse 1;OSTLUFT;NO2;y1;µg/m3;28
1995;8400_0050;Winterthur - Güterstrasse 1;OSTLUFT;NO2;y1;µg/m3;28
1996;8400_0050;Winterthur - Güterstrasse 1;OSTLUFT;NO2;y1;µg/m3;28
1997;8400_0050;Winterthur - Güterstrasse 1;OSTLUFT;NO2;y1;µg/m3;28
1998;8400_0050;Winterthur - Güterstrasse 1;OSTLUFT;NO2;y1;µg/m3;27
1999;8400_0050;Winterthur - Güterstrasse 1;OSTLUFT;NO2;y1;µg/m3;28
2000;8400_0050;Winterthur - Güterstrasse 1;OSTLUFT;NO2;y1;µg/m3;27
2001;8400_0050;Winterthur - Güterstrasse 1;OSTLUFT;NO2;y1;µg/m3;24
2002;8400_0050;Winterthur - Güterstrasse 1;OSTLUFT;NO2;y1;µg/m3;24
2003;8400_0050;Winterthur - Güterstrasse 1;OSTLUFT;NO2;y1;µg/m3;26
2004;8400_0050;Winterthur - Güterstrasse 1;OSTLUFT;NO2;y1;µg/m3;23.9
2005;8400_0050;Winterthur - Güterstrasse 1;OSTLUFT;NO2;y1;µg/m3;NA
2006;8400_0050;Winterthur - Güterstrasse 1;OSTLUFT;NO2;y1;µg/m3;NA
2007;8400_0050;Winterthur - Güterstrasse 1;OSTLUFT;NO2;y1;µg/m3;22.86
1994;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;40
1995;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;37
1996;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;37
1997;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;37
1998;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;38
1999;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;38
2000;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;37
2001;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;34
2002;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;34
2003;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;41
2004;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;36.22
2005;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2006;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2007;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;37.02
2008;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2009;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2010;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2011;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2012;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2013;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2014;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2015;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2016;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2017;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2018;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2019;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2020;8400_0060;Winterthur - Schlosstalstrasse;OSTLUFT;NO2;y1;µg/m3;23.87
1994;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;31
1995;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;31
1996;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;30
1997;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;30
1998;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;28
1999;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;28
2000;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;27
2001;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;24
2002;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;25
2003;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;27
2004;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;26.03
2005;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;NA
2006;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;NA
2007;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;25.76
2008;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;25.43540713
2009;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;25.92929943
2010;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;26.12
2011;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;23.87852481
2012;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;24.59
2013;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;25.2
2014;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;22.49
2015;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;23.77
2016;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;22.11
2017;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;20.2
2018;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;19.3
2019;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;18.38
2020;8400_0070;Winterthur - Schulhaus Hohfurri;OSTLUFT;NO2;y1;µg/m3;15.58
1994;8400_0080;Winterthur - Schulhaus Langwiesen;OSTLUFT;NO2;y1;µg/m3;29
1995;8400_0080;Winterthur - Schulhaus Langwiesen;OSTLUFT;NO2;y1;µg/m3;29
1996;8400_0080;Winterthur - Schulhaus Langwiesen;OSTLUFT;NO2;y1;µg/m3;30
1997;8400_0080;Winterthur - Schulhaus Langwiesen;OSTLUFT;NO2;y1;µg/m3;30
1998;8400_0080;Winterthur - Schulhaus Langwiesen;OSTLUFT;NO2;y1;µg/m3;30
1999;8400_0080;Winterthur - Schulhaus Langwiesen;OSTLUFT;NO2;y1;µg/m3;31
2000;8400_0080;Winterthur - Schulhaus Langwiesen;OSTLUFT;NO2;y1;µg/m3;29
2001;8400_0080;Winterthur - Schulhaus Langwiesen;OSTLUFT;NO2;y1;µg/m3;27
2002;8400_0080;Winterthur - Schulhaus Langwiesen;OSTLUFT;NO2;y1;µg/m3;30
2003;8400_0080;Winterthur - Schulhaus Langwiesen;OSTLUFT;NO2;y1;µg/m3;31
2004;8400_0080;Winterthur - Schulhaus Langwiesen;OSTLUFT;NO2;y1;µg/m3;27.43
2005;8400_0080;Winterthur - Schulhaus Langwiesen;OSTLUFT;NO2;y1;µg/m3;NA
2006;8400_0080;Winterthur - Schulhaus Langwiesen;OSTLUFT;NO2;y1;µg/m3;NA
2007;8400_0080;Winterthur - Schulhaus Langwiesen;OSTLUFT;NO2;y1;µg/m3;27.43
1994;8400_0090;Winterthur - Schulhaus Rychenberg;OSTLUFT;NO2;y1;µg/m3;26
1995;8400_0090;Winterthur - Schulhaus Rychenberg;OSTLUFT;NO2;y1;µg/m3;25
1996;8400_0090;Winterthur - Schulhaus Rychenberg;OSTLUFT;NO2;y1;µg/m3;26
1997;8400_0090;Winterthur - Schulhaus Rychenberg;OSTLUFT;NO2;y1;µg/m3;28
