year;site;site_long;source;siteclass;ecosystem_category;critical_load_min;critical_load_single;critical_load_max;parameter;unit;value
2022;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;5.959292330578835
2022;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;22.7126291415927
2022;BA;Hinwil-Bachtel Sennenberg;OSTLUFT;hoch;Wald;5;10;20;N-Deposition;kg-N/ha/a;28.6719214721716
2022;NET;Neerach-Turpenlöcher;OSTLUFT;mittel;Flachmoor;15;15;30;aus NOx-Quellen;kg-N/ha/a;5.259246171248798
2022;NET;Neerach-Turpenlöcher;OSTLUFT;mittel;Flachmoor;15;15;30;aus NH3-Quellen;kg-N/ha/a;19.89007229152635
2022;NET;Neerach-Turpenlöcher;OSTLUFT;mittel;Flachmoor;15;15;30;N-Deposition;kg-N/ha/a;25.1493184627751
2022;OSD;Ossingen-Dachsenhuserriet;OSTLUFT;mittel;Flachmoor;15;15;25;aus NOx-Quellen;kg-N/ha/a;4.9160323505951
2022;OSD;Ossingen-Dachsenhuserriet;OSTLUFT;mittel;Flachmoor;15;15;25;aus NH3-Quellen;kg-N/ha/a;15.630611283412494
2022;OSD;Ossingen-Dachsenhuserriet;OSTLUFT;mittel;Flachmoor;15;15;25;N-Deposition;kg-N/ha/a;20.5466436340076
2022;OSD;Ossingen-Dachsenhuserriet;OSTLUFT;mittel;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;7.050225578875841
2022;OSD;Ossingen-Dachsenhuserriet;OSTLUFT;mittel;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;19.016101032740416
2022;OSD;Ossingen-Dachsenhuserriet;OSTLUFT;mittel;Wald;5;10;20;N-Deposition;kg-N/ha/a;26.0663266116162
2022;TAB;Tablat-Risihölzli;OSTLUFT;mittel;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;5.015007396796955
2022;TAB;Tablat-Risihölzli;OSTLUFT;mittel;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;12.858771739061252
2022;TAB;Tablat-Risihölzli;OSTLUFT;mittel;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;17.8737791358582
2022;TAB;Tablat-Risihölzli;OSTLUFT;mittel;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;6.730022818518114
2022;TAB;Tablat-Risihölzli;OSTLUFT;mittel;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;21.018964573352694
2022;TAB;Tablat-Risihölzli;OSTLUFT;mittel;Wald;5;10;20;N-Deposition;kg-N/ha/a;27.7489873918708
2022;WIH;Winterthur-Hoh Wülflingen;OSTLUFT;mittel;Trockenrasen;15;15;25;aus NOx-Quellen;kg-N/ha/a;5.632902509536094
2022;WIH;Winterthur-Hoh Wülflingen;OSTLUFT;mittel;Trockenrasen;15;15;25;aus NH3-Quellen;kg-N/ha/a;11.599702203928535
2022;WIH;Winterthur-Hoh Wülflingen;OSTLUFT;mittel;Trockenrasen;15;15;25;N-Deposition;kg-N/ha/a;17.2326047134646
2022;WIH;Winterthur-Hoh Wülflingen;OSTLUFT;mittel;Wald;5;10;20;aus NOx-Quellen;kg-N/ha/a;8.242390139985567
2022;WIH;Winterthur-Hoh Wülflingen;OSTLUFT;mittel;Wald;5;10;20;aus NH3-Quellen;kg-N/ha/a;19.00372562720879
2022;WIH;Winterthur-Hoh Wülflingen;OSTLUFT;mittel;Wald;5;10;20;N-Deposition;kg-N/ha/a;27.2461157671944
